	reviews	label
0	초반엔 답답하나 후반엔 힐링. 강추	1
1	초반엔 답답하나 후반엔 힐링. 강추	1
2	너무너무 재미있게 본 인생작	1
3	이지은의 인생작.	1
4	그냥 보면 되는 드라마	1
5	그저 좋았다라는 말로 평가하기엔 미안했던 드라마.	1
6	인간이 처할 수 있는 최악의 인생을 살던 '이지안'이 어떻게 사람속으로, 사회속으로 들어오게 되는지 너무 잘 그린 드라마... 감히 인생드라마입니다	1
7	'인생'드라마	1
8	최고란 단어 중 더한게 있다면 갖다 붙이고 싶은 작품	1
9	지안아!!!!!!!! ㅠ퓨	1
10	ㄹㅇ 재밌음	1
11	인생 드라마입니다!	1
12	모든 연기자의 연기가 훌륭하고 감정선이 좋아요	1
13	최고	1
14	아이유의 연기는 진짜 최고네요 연출과 음악 모두 빠져들게 만드는 드라마입니다 강추해요	1
15	최고의 드라마	1
16	웰메이드 드라마	1
17	 댓글내용 확인 	1
18	ㅎ	1
19	ㅎ	1
20	현실같지만 현실같지않은	1
21	소재가 너무 신선하고 재밌었어요	1
22	여주 심은하+강소라	1
23	정말 재미있게 봤는데 시즌2도 나왔으면 좋겠어요.	1
24	일단 시간이 빨리가몰입감이 좋단 소리지	1
25	스피디한 전개 오피 화이팅	1
26	아주 재밌게 봤스빈다.	1
27	이러한 컨텐츠 한국 드라마에서 찾기 힘든데, 재미있었어요. 다만 마지막이 조금 아쉽네요.. 아마도 다음 시즌 예고(?) 하는 느낌을 주려고 그런 것 같지만 그래도 다음 작품 기대됩니다 :)	1
28	마지막이 좀 마음에 안들긴했으나, 전체적으로 웰메이드 였습니다... ㅎ	1
29	박주현 이뻐요.	1
30	오지+배귤 대환장파티의 조합. 담 시즌이 기대되네요	1
31	엔딩은 아직 못봤는데 쫄깃쫄깃함	1
32	주말용 굿굿	1
33	굿	1
34	어느순간 여자주인공을 몰입해서 보게됩니다. 전 재미있게 봤습니다.	1
