	label	titles
0	0	한화 슼이 초반에 너무못했고 
1	0	박혜민 타석때 왜 김동엽 대타 섯나요? 
2	0	타격코치 
3	0	김동엽과 주시력(主視力), 그밖에... 
4	0	팬들은 바란다 오재일과 최주환 꼭 잡아달라 팔카와 중심타선 
5	0	프런트 
6	0	포수의 문제.. 
7	0	때리치라 전부다 
8	0	9회등판 왼손 이상민투수 괜찮아 보인다 
9	0	감독이 이길맘이 없어요 
10	0	용달매직은 어디에 있는가요??? 
11	0	야구 왜 못하니? 
12	0	이기고 있을 때 
13	0	삼성선수들이 빠른공 대응을 너무 못한다 
14	0	삼성 9회에 등판한 투수 누구고? 제구가 있는 것 같던데 
15	0	엘지 이민호는 진짜 크게 될거 같아요 
16	0	투수는 170, 타자는 160대 뽑는 유일한 팀 
17	0	ㅂㅅ 같은게 40경기 어쩌구 저쩌구.멀티 포지션할때 알아봣다 
18	0	오늘 5점 내고 그때부터 감독 코치 선수들 모두 만족하고 점수 안내기로 한건가. 왜)) 어제 4점 낸거 보다 많이 냈으니까! 
19	0	여러분 10원짜리 욕은 빼고 ㄲㅏ는 글쓰세요~ 
20	0	팀에 구심점이 될만한 고참 선수가없다! 
21	0	번트 대는법도 안가르키냐 
22	0	사자후 초기 화면 김지찬 사진으로 바까라 
23	0	코로나아니였으면 구단버스불나거나 허삼영 여러번돌맞았을듯 
24	0	포기했지만 화가나서 참을 수가 없다 
25	0	마음같아선 허삼영퇴단 국민청원이라도 하고싶네 
26	0	허삼영 
27	0	라팍의 악몽 
28	0	경기포기 감독 
29	0	ㅋㅋㅋ 
30	0	엘쥐 투타 등빨 선수들 중1리 저넘 숟가락 쩌네 
31	0	늬들이 프로냐~ 
32	0	오늘도 허삼영이가 찬스를 놓치네~ 
33	0	야구 저능아 허삼영 
34	0	어제나 오늘이나 보면 모르겠나 
35	0	1회에 5점내고 타자들 다 퇴근했냐 ㅋㅋㅋ 
36	0	1회 5득점 후 9회까지 무득점 
37	0	종반에 약한 삼성 팔카가 못때리면 필패모드 
38	0	김헌곤 번트 실패가 결정적 패인이다 
39	0	홍준학 책임지고 물러나라 그래야 팀이 산다 
40	0	비가 한 6회부터 엄청 오면 이길수도 있겠다 했는데 
41	0	이성규는 머 잘한게 있다고 계속 웃는거지???? 
