,date,time,win
0,2020-04-21,14:00:00,1
1,2020-04-23,18:00:00,1
2,2020-04-25,14:00:00,1
3,2020-04-27,14:00:00,0
4,2020-04-29,14:00:00,0
5,2020-05-01,14:00:00,0
6,2020-05-12,18:30:00,0
7,2020-05-13,18:30:00,1
8,2020-05-14,18:30:00,1
9,2020-05-15,18:30:00,0
10,2020-05-16,17:00:00,0
11,2020-05-17,14:00:00,0
12,2020-05-26,18:30:00,0
13,2020-05-27,18:30:00,1
14,2020-05-28,18:30:00,1
15,2020-05-05,14:00:00,0
16,2020-05-06,18:30:00,0
17,2020-05-07,18:30:00,0
18,2020-05-08,18:30:00,1
19,2020-05-09,17:00:00,1
20,2020-05-10,14:00:00,0
21,2020-05-19,18:30:00,0
22,2020-05-20,18:30:00,1
23,2020-05-21,18:30:00,0
24,2020-05-22,18:30:00,0
25,2020-05-23,17:00:00,0
26,2020-05-24,14:00:00,1
27,2020-05-29,18:30:00,1
28,2020-05-30,17:00:00,1
29,2020-05-31,14:00:00,0
30,2020-06-02,18:30:00,1
31,2020-06-03,18:30:00,1
32,2020-06-04,18:30:00,0
33,2020-06-05,18:30:00,0
34,2020-06-06,17:00:00,0
35,2020-06-07,17:00:00,1
36,2020-06-16,18:30:00,1
37,2020-06-17,18:30:00,1
38,2020-06-18,18:30:00,0
39,2020-06-19,18:30:00,0
40,2020-06-20,17:00:00,0
41,2020-06-21,17:00:00,1
42,2020-06-26,18:30:00,1
43,2020-06-27,17:00:00,1
44,2020-06-28,17:00:00,0
45,2020-06-09,18:30:00,0
46,2020-06-10,18:30:00,1
47,2020-06-11,18:30:00,1
48,2020-06-12,18:30:00,2
49,2020-06-13,14:00:00,1
50,2020-06-13,17:15:00,0
51,2020-06-14,17:00:00,1
52,2020-06-23,18:30:00,1
53,2020-06-24,18:30:00,1
54,2020-06-25,18:30:00,0
55,2020-06-30,18:30:00,1
56,2020-07-07,18:30:00,1
57,2020-07-08,18:30:00,0
58,2020-07-09,18:30:00,0
59,2020-07-10,18:30:00,0
60,2020-07-11,18:00:00,0
61,2020-07-12,17:00:00,2
62,2020-07-13,18:30:00,2
63,2020-07-21,18:30:00,0
64,2020-07-22,18:30:00,2
65,2020-07-23,18:30:00,2
66,2020-07-24,18:30:00,2
67,2020-07-25,18:00:00,0
68,2020-07-26,17:00:00,0
69,2020-07-01,18:30:00,1
70,2020-07-02,18:30:00,1
71,2020-07-03,18:30:00,1
72,2020-07-04,18:00:00,1
73,2020-07-05,17:00:00,0
74,2020-07-14,18:30:00,1
75,2020-07-15,18:30:00,0
76,2020-07-16,18:30:00,1
77,2020-07-17,18:30:00,1
78,2020-07-18,18:00:00,1
79,2020-07-19,17:00:00,0
80,2020-07-28,18:30:00,2
81,2020-07-29,18:30:00,0
82,2020-07-30,18:30:00,1
83,2020-07-31,18:30:00,0
84,2020-08-04,18:30:00,1
85,2020-08-05,18:30:00,2
86,2020-08-06,18:30:00,0
87,2020-08-07,18:30:00,1
88,2020-08-08,18:00:00,0
89,2020-08-09,17:00:00,2
90,2020-08-10,18:30:00,2
91,2020-08-14,18:30:00,1
92,2020-08-15,17:00:00,1
93,2020-08-16,17:00:00,0
94,2020-08-20,18:30:00,1
95,2020-08-21,18:30:00,0
96,2020-08-27,18:30:00,2
97,2020-08-28,18:30:00,2
98,2020-08-29,18:00:00,2
99,2020-08-30,17:00:00,2
100,2020-08-01,18:00:00,0
101,2020-08-02,17:00:00,0
102,2020-08-11,18:30:00,0
103,2020-08-12,18:30:00,0
104,2020-08-13,18:30:00,1
105,2020-08-18,18:30:00,0
106,2020-08-19,18:30:00,0
107,2020-08-22,18:00:00,0
108,2020-08-23,17:00:00,0
109,2020-08-25,18:30:00,1
110,2020-08-26,18:30:00,0
