	reviews	label
0	상처은 없애는게 아니라 그거 또한 나 자신인것을 인정하고 사랑해야한다는 걸ㅠㅠ감동적이네요 	1
1	웃다가 마지막에 폭풍눈물 ㅠㅠ 엄마 마음 이해할 수 있는 나이가 되어서 그런지 이번 편 진짜 명작이었음 ㅠㅠ 	1
2	어린동심으로 돌아가서 부모님의 사랑을 다시한번 느끼게짱구가 도와준 감동적인 어린이 영화였네요 	1
3	로봇아빠도 그랬지만 이번 시리즈 역시 꿈에 세계로 들어가 보는 이로 하여금 얻을 수 있었던 건 꿈과 희망이었다. 그리고 감동까지 볼 수 있었다. 동심으로 돌아가 영화를 본 느낌이다. 	1
4	재미,감동,사랑,우정 전부다 다 잡은 역대급 짱구 극장판.. 짱구극장판 중 베스트다... 	1
5	 아이들의 순수함과 희망은 모든걸 바꿀수있다! 떡잎마을방위대 파이어!!!! 	1
6	'아버지'는 대신 할 수 없으니까.. 	1
7	감동적이고 재밌어요!! ㅋㅋㅋ짱구엄마 막 퓨어퓨어미사쨩 막 그럴때 너무 웃겼어욬ㅋㅋ 웃긴부분 많네요! 	1
8	역시 실망시키지 않는 짱구! 초반에는 웃기다가 감동까지! 진짜 짱구 최고에요! 	1
9	오랫동안 사랑받는 이유가 있는,. 역시 어른이 되어도 계속 찾아볼수밖에 없는 이유는 매회 담겨있는 공감되는 주제와 감동으로 무거울수있는 주제를 짱구만의 웃음코드로부드럽게 만드는 독특한 힘있는 애니라고 생각합니다 ...	1
10	정말 재밌어요! 대박나길!!~! 	1
11	역시 갓구는 극장판! 웃음과 감동의 콜라보 	1
12	귀여워 모성애가 느껴져서 더 좋았으 	1
13	악몽은 그대로 남아있다. 그래도 너는 괜찮다. 	1
14	남녀노소 즐길 수 있는 명작 애니메이션! 역시 짱구! 짱짱맨!! 	1
15	잼있네요 ㅋㅋ 특히 엉덩이 로 악몽올라탈때 저 38살 ㅋㅋ 	1
16	그 긴 짱구 극장판 시리즈에서 유일하게미선씨를멋있게 연출(겁나 짧지만 해준 시리즈라 좋았다. 이 시리즈를 시작으로 짱구에서도 엄마는 집에서 살림만 해야한다는 구석기시대 마인드는 좀때려치우고 엄마이자 사람....	1
17	애들이 보기 야하지만 재미있었음 	1
18	좀 이해가 안되는게 아이용 애니를 왜 다큰 어른들이 지루하네요 라고 평가하는거죠 애시당초 니새끼들 기준이 아닌데요 	1
19	애니지만 마지막에 주는감동은 어느곳에서도 느낄수없는 감동이다 특히 마지막에 맹구가 하는말이 젤감동이었네요 ' 아이들은 꿈을 꾸면서 성장한다' 	1
20	성장,우정,가족애,감동 빠짐없이 들어가있고 짱구네 가족이나 떡잎마을 방범대 모두 비중있게 활약해서 재밌게 봤습니다. 	1
21	아이들이 설연휴에 영화보러가자해서 상영하는 영화가 뭐가 있나보니 짱구극장판이 나오더라고요.평소에도 좋아는 짱구라서 바로 예매했습니다.연휴라 차가 많이밀려서 걱정했는데 늦지않게 도착해서 영화를 받네요.영화끝나고 나오면...	1
22	아이들이 기대이상 좋아해서 돈 아깝지 않았어요.추천 합니다. 	1
23	아이가무척좋아했어요. 	1
24	조카 데리고 오랫만에 웃고 왔네요~~아이들 한테 최고의 영화인듯~ 	1
25	딸은 무척 잼있다고 하네요~ 	1
26	아무생각없이 그저 킬링타임용으로 시청했는데 정말 감명깊게 봤다아이 어른 모두 재미있게 볼만한 영화상처는 내 안에서 지워버리는게 아닌 그 또한 나 자신임을 받아들여야 한다는 메세지와 어미니의 사랑을 어렵고 무겁지 않게...	1
27	아무리 생각하고 보고 또 봐도 짱구는 아이들 만화가 절대 아니다. 이 시대에 가장 말라버린 부분을 따뜻한 비로 적셔준다. 짱구의 모든 극장판 아무리 봐도 명작이다. 	1
28	짱구 극장판 중에서 제일 재미있었고 병맛도 충만했어용 	1
29	그 무엇도 가족을 대신할수없다 . . 현실에서도 그렇듯이 . . 	1
30	상처와 트라우마는 지워지지 않지만 극복할 수 있다는걸 꿈으로 대유한 애니메이션 짱구시리즈 중에서 평타는 친 명작 	1
31	개인적으로 어른제국이랑 동급.. 우선 꿈을 소재로 한다는 점이 참신하면서 어른들의 꿈 에너지가 작다는 것에 다시한번 씁쓸했고, 악역임에도 딸을 구하려는 아빠의 마음이 이해가 가며, 마지막 어머니의 마음을 표현한 신에...	1
32	내가짱구를좋아하는이유는 그렇다... 짱구는못말려극장판의끝은 결국 가족애라는걸...지극히가장평범한가족들이 가족이라는이름하나로뭉쳐서 절대악과맞서싸워승리를거두는것... 그래서 난 짱구를좋아한다 	1
33	어렸을때의 그 트라우마가 참 크다는걸 느꼈어요 ㅠㅠ 아이를 위한 부모님의 마음 ~극장판보면 웃긴 부분도 있고 아련한 느낌이었어요 	1
34	아이와 재미있게 봤어요^^ 	1
35	아이가 굉장히 좋아했어요시간이 좀 길지않나 생각했는데 내용이 알차서 꼬물거리지도 않고 끝까지 재밌게 봤어요신나게 웃고 즐거워하네요 	1
36	명절에 아이와 함께 재미있게 봤어요~~^^ 	1
37	재미있다가도 항상 감동적인 부분이 있는 짱구는 못말려.. 성우님들, 제작진분들 항상 건강하시고요, 사랑합니다. 그리고 항상 감동적인 짱구 만들어주셔서 정말 감사드립니다. 	1
38	친구들의 도움을 받아 자신의 죄책감을 마주보고 인정하며 정말로 엄마를 떠나보내고 성장한 아이의 이야기. 	1
39	평점이 생각보다 낮네요 막판에 폭풍감동이었는데ㅠㅠ 	1
40	짱구는 못말려 극장판은 역시 실망시키지 않네여 맨마지막에 부모님이 얼마나 중요한지 알려주고 이번편은 재미있고 감동먹었습니다. ㅜㅜ 	1
41	역시짱구다 짱재밋었ㅆ따 ^^^^ 	1
42	재미있게 보았습니다!!! 	1
43	소재자체도 기발했고 전체적으로 나쁘진 않았지만 저번 23기도 그렇고 결말로 갈수록 기승전결이 부족한 느낌이라서 너무 아쉬워요 뭔가 2%가 부족해... 더 여운있는 감동을 충분히 줄 수 있을 텐데요 그리고 전체관람가라...	1
44	너무나도 행복한 기억도나도 모르게 느꼈던 아픈 기억도너무나도 충격적인 기억도눈물나게 느낀 마음의 기억도모두 나의 기억 이라는것, 모두 나라는 존재를 만들기 위한 과정이였던것아픈 나도 슬픈 나도 수치스런 나도 사랑한다...	1
45	항상 짱구 덕분에 감동받고 삽니다 	1
46	겉은 아동영화지만 메시지는 나이에 상관없이 많은 사람에게 적용되네요. 개인적으로 옛날 짱구에 어른제국이랑 전국대합전이 있다면 지금 짱구엔 이 극장판이 있다고 당당히 말할 수 있습니다 	1
47	1점 준사람 영화 제대로 봤을까 	1
48	ㅅㅂ왜이렇게 낮냐 솔직히 9점 중반대 영화인데 	1
49	짱구는 어떤 극장판이든 잼잇다리 ㄷㄷ 	1
50	감동적이었어요. 한편의 영화를 보면서 여러가지 감정을 느꼈어요ㅠ ㅠ 	1
51	제 개인적인 생각으로는 어른제국에 버금갈 정도의 감동적이고 의미있는 작품이라는 생각이 들어요'꿈'이라는 소재를 잘 풀어냈고, 끝부분에 짱구엄마가 꿈 속에 들어가 짱구를 지켜주며, 보라를 따뜻하게 안아주...	1
52	생각도 못했는데 눈물이 왈칵 나네요ㅠㅠㅠ어른들을 위한 만화인듯 ㅠㅠ 	1
53	짱구극장판이 아니면 웃기면서도 감동적이게 이렇게는 잘표현하지못할거에요. 인제서야 본게 후회되네요. 보면서 후반에 펑펑울었네요. 	1
54	감동적이에요 .. ㅜㅜ 	1
55	원래 댓글 잘 안남기는데 정말 애니매이션 영화지만 스토리가 정말 좋은거 같아요! 평점보고 영화보시려는 분들 꼭 보시길 바랍니다! 여태까지 본것중에 가장 재밌고 감동적이네요. 	1
56	코믹과 감동의 적절한 조합 오로지 짱구는 못말려 극장판만이 보여줄 수 있는 큰 장점입니다. 	1
57	항상 실망시키지않는 짱구 극장판 ㅠㅠ 마지막에 펑펑 울었습니다감동적이였어요 ㅠㅠ 다음 극장판도 기대할게요!! 	1
58	짱구시리즈는 매번 나자신을 돌아보게하는듯. 이거 더빙나오기를 기다렸었는데 감동... 특히 마지막에 떨어져있어도 꿈에서 언젠가 만나자는게 감동인듯 	1
59	모든 사람들의 노력과 고생이 느껴졌습니다부모님 또한 고생을 많이 하셧구나 라는 생각이 영화를 보는 내내 들었습니다. 이제 고통은 그만 받으시길 하는 바람입니다. 죄송하고 감사합니다. 	1
60	옛날엔 아무 생각없이 재밌게만 봤었는데 특정 장면들은 애들과 보기엔 조금 불편한 감이 없지 않아 있었습니다. 하지만 감동적인 이야기를 다루는 짱구답게 엄마의 마음이 느껴지던 마지막 장면에서 펑펑 울었습니다 	1
61	초등학교때부터 보던 짱구! 성인이 된 지금에 봐도 너무너무 재밌고 감동적입니당! 내겐 해리포터 같은 애니!! 	1
62	극장판은 짱구를 못 따라오죠ㅜㅜㅜ 	1
63	재미있게 보았어요~^^ 	1
64	생각했던것보다 재미있었어요~~교훈도 있고~~재미도 있고~~아이도 재미있다고 하니~~즐감하고 왔어요~ 	1
65	평소에도 좋아했지만 아이와 같이가서보니 더 잼있었네요그저 만화라기보다 많은 생각을 할정도로 빠져들었던것도있었네요 	1
66	나연이 짱이양 넘나재밌는것 	1
67	완전 감동이에요 재미있어요! 	1
68	순수하고 유쾌한 동심과 가슴 뭉클한 감동을 가득 	1
69	처음으로 극장에서 본 짱구있어서 좋았습니다 초반에는 웃고 마지막에는 감동있어서 좋았습니다 25기도 기대됩니다 	1
70	아이들이 재미있어하네요~ 	1
71	삶의희로애락이 담겨있다 - 안소디 	1
72	과거에 나쁜기억에 얶메이지 말고 지금의 나를 사랑하라는 좋은 교훈에 감동했습니다. 	1
73	엄청 웃기고 재밌어요 중간중간 계속 낄낄대고 웃었어요마지막은 울컥할정도로 감동적이고간만에 짱구 극장판보니 시간 가는줄 모르고엄청 재밌게 봤네요 	1
74	솔직히 꿀잼임ㅋㅋㅋㅋ 띵띵작 ㅇㅈ? ㅇㅇㅈ~~ 	1
75	아림고 짱고 밝혔다 오늘 ㅌ 	1
76	짱구는 언제나 늘 옳습니다. 	1
77	꿈속세계는 신기하단말이야. 	1
78	와..역시 짱구는 감동이그자체네요.특히 마지막에 엄마의 사랑을다시한번느낄수있었고 그 엄마잔소리가 여태까지는 그냥 잔소리로들렸는데 엄마의사랑을다시한번 느낄수있었는 영화였습니다. 	1
79	진짜 재미있어요 ㅠㅠㅠㅠ 	1
80	이번에도 좋았다 ,,.., 	1
81	짱짱짱짱!@#$%^&* 	1
82	내용이 점점 좋아 지고 있습니다. 	1
83	연출도 스토리도 너무 좋았습니다,, 많은걸 생각하게 한 영화 	1
84	ㅠㅠ진짜 애니메이션 보고 감동먹긴 처음이에요 또 제이름이 보라다보니까 짱구엄마가한 말 보고 울음이 나오더라고요 정말 감동이였습니다.. 	1
85	짱구의 엉뚱함은진짜 아무도 못말리것네요ㅎㅎ 	1
86	재밌었움 마지막 감동까지 	1
87	너무 감사하고 행복했던 추억이에요 	1
88	인간미가 물씬 풍기는 영화네요. 웃음과 눈물이 교차되고 성적만으로 학생들을 교육하는 현 교육현실에 많은 교훈을 주는 것 같습니다. 성적은 9등급이지만 자신이 좋아하는 일을 열심히 하면서 학생들이 느끼던 훈훈한 장면이...	1
89	춤을 추며 절망이랑 싸울 거야 얼어붙은 아스팔트 도시 위로 	1
90	조명받지 못해도 정직하고 치열하게 이 땅에 발 붙이고 살아가는 사람들의 이름을 불러주는 이야기를 사랑하지 않는 법을 모른다. 	1
91	얘들아 너희는 존재자체만으로 아름다워 	1
92	내 후배들자랑스럽나의모교이기도하지만 규호쌤 그립네요 우리때도 댄스스포츠가르쳐주셨었는데 	1
93	52세 남자 선생님이 18세 여고생 제자의 숙취를 걱정하여 숙취해소 음료를 사다주는 그 어디서도 볼 수 없는 따뜻한 영화 	1
94	원투 차차차 뜨리뽀 차차차~거제여자상업고등학교 학생들, 선생님들 멋지십니다! 응원 할게요~*^^* 	1
95	선생님은 정말 인간계가 아닌 듯함. 선생님때문에 이 영화는 SF임. 감독님 영화 만들어줘서 고맙습니다. 항상 응원할께요^^ 	1
96	 나도 고등학생 때 저렇게 살았음 좋았을텐데... 	1
97	사랑스럽고 따뜻한 영화. 지방 청소년의 삶과 학교란 어떤 공간이어야 하는지에 대해서 생각하게 한다. 술을 마시고 담배를 피우고 공부를 못하고 지각을 해도 '문제아'로 단죄하지 않고 개인 그 자체로 바라...	1
98	오늘보러 갈려구요.티비에서 잠시 나오는거 보고, 꼭 봐야겠다고생각했는데,대형 배급사들의 횡포에 스크린 수가 적네요... 일부러 라도 찾아가서 보려고 합니다 	1
99	소녀를 대상화하지 않아 좋다 	1
100	영화 보는데 사람들이 막 눈물 닦으면서 봄... 그게 슬퍼서가 아니라 그때 그때의 그때 자기 같아서 그런 거 같은... 묘한 기분으로 본 영화 	1
101	정말최고의 선생님 입니다~승진보다는 학생들이 꿈을 가지게 해주는 	1
102	손수건을 꼭 챙겨가세요. 조명되지 않았던 삶을 바라보는 다정한 시선. 	1
103	정말 감동적이였고 정말대단하세요!!! 	1
104	중간중간에 그런 상황이 아닌데도 눈물이 날 때도 있고 웃음이 날 때도 있었습니다. 가감없이 아이들의 상황을 담아낸 영화여서 더욱 감동적이고 좋았습니다. 영화관 화면으로 접할 수 있어서 다행이라 생각해요. 망설이시는 ...	1
105	학생들에게 어떻게 나아가야할지를알려주는 선생님. 어떻게 나아갈지 모르는 18살 소녀들과 52살 선생님의 이야기.작지만 소박하지만 순수하게 프레임안에 담아낸 따뜻한 영화. 이런 영화가 있어 행복합니다. 그리고 감사합니...	1
106	눈부셔서 자꾸 눈물이 나요 	1
107	10점 주고 싶은데, 알바라고 의심할까 싶어서 9점을 등록해요. 상영관이 적고 시간대도 많지 않아서 겨우 봤는데, 몇 번이나 마음이 뭉클했어요. 반짝반짝 빛나고 예쁜 시간을 공유해줘서 고마워요. 장기 상영이라도 해서...	1
108	웃고 울게 만드네요 강추합니다 	1
109	종일 시끄럽게 웃고 떠들고 늘어져 자던 고등학교 시절이 둥실 떠오르는. 재미있는 것에 그저 온 열정을 쏟아 붓는 땐뽀반을 보고 있자니 가슴 벅차다ㅠㅠㅠ 땐뽀 땐뽀 파이팅!!!! 	1
110	정말 감동적이네요. 재밌게 잘 봤습니다. 	1
111	올해 나온 한국 영화의 보물. 다큐가 만들어내는 작은 기적. 	1
112	GV에서 어떤 분이 하셨던 말처럼 영화에서 판단을 요구하지 않는다는 말과 이에 덧붙여서 애정을 가지고 공감할 수 있어서 너무 좋았습니다 울다가 웃다가 ㅋㅋ 또 보러 갈거에요 	1
