	reviews	label
0	미안한데 20~30년 전에도 너네보다 잘했어	1
1	아무리 우레이여도 이 말은 인정한다	1
2	마인드는 좋네	1
3	한국 월드컵 본선 10회 진출. 중국 월드컵 본선 농어촌 전형으로 1회. 30년 전에도 중국따윈 쌉바름 ㅋㅋㅋㅋㅋㅋㅋㅋ	1
4	리그 수준은 올라가는데, 자국선수들 실력은 안늘고있는 전형적인 케이스	1
5	그나마 우레이 정도 되니까 2부라도 뛰지. 다른 중국애들은 유럽 3부 리그 벤치도 힘들다	1
6	비록 중국인 이라도 저런 인성을 가진 우레이라면 응원을 아끼지 않을꺼야.	1
7	우레이 리그 33경기 4골0어시. 출전경기 1승9무23패. 결장경기 4승1무. 컵대회포함 49경기 8골 1어시.. 우레뽕들 11골 날조 그만쳐하지ㅋ . 지난 시즌 리그 17골의 이글레시아스 를 팔고 우레이를 밀어준게 잘못이지.. 에스파놀 팬들은 첨엔 중국에서 홍보로 돈뽑아오고 좋아라 했지만 결국엔 유로파 출전팀이 한시즌만에 강등당해 지난시즌 번돈 다 날리고 위치는 2부리그 ..	1
8	역시 유럽리그에서 느낀게 많구먼.개념탑재 인정	1
9	김민재가 이말을 좀 귀담아 들어야할텐데	1
10	30년전에는 비슷하다니... 거 막말이 너무 심한거 아니오...	1
11	다른건 모르겠고~~20~30년전에 중국축구가 우리가 비슷했다는 그런 망언을~~~ 그땐.일본은 한수아래~~중국은 끝도 없는 아래였는데 ㅋㅋ무슨소릴 ㅋㅋ	1
12	얘는 그래도 라리가 경험해보니 이런소리하는거지 중국에 처박혀있는 놈들은 수준차이를 몸소 느껴볼 기회가없으니 지잘났다고 나불대기만 ㅉㅉ	1
13	마인드 좋고 맞는말은 했는데20년전이던 30년전이던우리가 너네랑 동급이었던 적은 없다.	1
14	우레이가 이야기해도 중국은 안 변한다에 한표다.	1
15	100%맞는말이지 ㅋㅋㅋㅋ 근데 이와중에 댓글에서는 백수들이 우레이까고있네 ㅉㅉ 그냥 중국 일본 베트남선수들 기사만 나오면 우르르 몰려와서 ㅂㄷㅂㄷ대는 ㅎㅌㅊ인생들	1
16	우레이 마인드는 탈중했네	1
17	맞는말은 했는데 20-30년전에도 니들 보다 몇수 위였다 말은 똑바로 하자	1
18	20년전쯤 이믄 우리나라가 월드컵 4강 진출 했던 시기인데 무슨 개소리 냉정히 말해 에스파뇰이니까 그나마 구단주 빽으로 경기 나왔지 다른팀 가믄 유니폼 팔이용으로 간혹 벤치 교체출전 명단제외다	1
19	정신 제대로 박힌 중국인이네	1
20	그래도 70만원 드래스 입고 나온거면 검소하긴 하네 ㅋㅋㅋ	0
21	순간 델레알린줄알았네	0
22	날두는 확실히 옆에 이리나샤크가 있을 때가 더 낫긴하다...조지나는 약간 짧뚱 느낌...	0
23	마스크좀 쓰고다녀라	0
24	날강두 패션은 진짜~ 옷 진짜 못입는다.무슨 사체업하는놈처럼 입었네 헤어스타일까지 한몫하네	0
25	개인적으로는 레알에 있을때 이리나 샤크랑 있을때가 진짜 개간지였는데	0
26	어깨 실화냐?	0
27	뱃살이랑 무다리	0
28	호날두 진짜 꽃미남이네	0
29	알리두	0
30	호날두가 얼마버는데 70? 한국여자들도 저 정도는 입고다니지 않나요?	0
31	호날두 촌놈 ?	0
32	애 낳아서 그런가 아직 어린데 짧뚱한 아줌 몸매 ㅜㅜ날두는 일수찍는 동네 놈팽이 느낌이고	0
33	날두형 머리 조지났네	0
34	임신중인가요??첫번째 사진 배불러보여서	0
35	날강두맞냐 델리알리랑 똑같네	0
36	이샛기도 조만간 코로나 걸리겄다	0
37	날두형 여친>>>>>>>>메시 아내	0
38	조지나 임신했나? 임신이 아니라면 왜케 똥배가 나왔냐..몸매가 뭐랄까 늘씬 보단 약간 육덕진 느낌이네..20대인데 벌써 저정도인데 30살 넘어가면 완전 아줌마 몸매될듯..	0
39	델리알리인줄ㅎㅎ	0
