	reviews	label
0	ㅇ	1
1	킹 제너럴 갓띵작.. 뭐논란이 많지만 어차피 니네 볼사람들은 볼거잖아 ? 여기에 댓글공격하는 애들도 이미 본애들이고	1
2	우익 어쩌고저쩌고, 설정 오류 등에 딱히 구애 받지 않으신다면 최고의 작품! 개인차는 있지만 재탕, 삼탕해도 흥미진진한 명작입니다. 아직 안 보신 분들은 지금 당장 정주행하시길.	1
4	갓띵작	1
5	내 인생은 이걸 보기 전과 후로 나뉜다..	1
6	우익무새들에게 알림. 출판사 왈 트위터는 작가 것이 아님. 작중 내용은 받아들이기 나름, 일본 넷우익들은 좌익이라고 깜. 픽시스의 원본은 사실상 일본 이순신, 친조선적 인물.	1
7	우익앵무새들에게 알림. 출판사 왈 트위터는 작가의 것이 아님. 작중 내용은 받아들이기 나름, 일본 넷우익들은 오히려 좌익이라고 깜. 픽시스의 원본은 사실상 일본 이순신, 오히...	1
8	우익앵무새들에게 알린다. 출판사 왈 트위터는 작가의 것이 아님. 작중 내용은 받아들이기 나름, 일본 넷우익들은 오히려 좌익이라고 깜. 픽시스의 원본은 일본에서 이순신 취급받는...	1
9	우익앵무새들에게 알린다. 출판사 왈 트위터는 작가의 것이 아님. 작중 내용은 받아들이기 나름, 일본 넷우익들에게는 오히려 좌익이라고 까임. 픽시스 장군의 원본은 일본에서 통상...	1
10	우익앵무새들에게 알린다. 트위터는 작가의 것이 아니었다고 출판사에서 밝혔다. 작중 내용은 받아들이기 나름이며 일본 넷우익들에게는 오히려 좌익이라고 까이는 부분이 많다. 픽시스...	1
11	masterpiece	1
12	지금까진 2화정도까지만 잠깐 보다 말았는데 보면 볼 수록 더 재밌네.만화책으로 볼까 애니로 볼까 고민했는데, 액션신은 애니로 보는게 좋아서 결제하고 하루에 몰아서 다 봄. 3...	1
13	꿀잼	1
14	와 진격거1기 넘나 재미있음 ㅎㅎ 3기 재발 나와라 악플러들은....걍 보지 마셈..	1
15	내 입덕작이기도 했고 한때 진짜 진격의 거인이 전부였는데 ,,, 아직도 정말 재밌게 보고있습니다. 논란같은건 빨리 진정되면 좋겠고 3기 아직까지 기다리고 있습니다!!	1
16	재미는 있지만 마지막이 좀더 이어질듯 한데...	1
17	★	1
18	아성인컨텐츠냐왜 ㅠ	1
19	작가 이야기는 왜 나옴 재밌으면 보는거지 ㅋㅋ 작가가 인성 개 쓰레기여도 재밌으면 봐야지 왜 안봐ㅋ	1
20	만화를만화로만보는걸보고자기합리화라니ㅋㅋㅋㅋ참대단하다니말대로자기합리화가뭔뜻인줄은알고거기다갖다붙이나ㅋㅋㅋㅋ평생그렇게넷상에서난남들과달라!하면서우월감느끼며사시든지요.	1
21	니논리대로면인정하고싶지않은데생각으론맞으니까우익빼액!! 논리지적은1도못하고열폭단어하나만갖고물고늘어지는것부터짧은지식수준잘보여줌ㅋㅋㅋ	1
22	팅~~~☆☆ 그냥 그러케 살렴!! 만화를 만화로만 보고 걍 그러케 자기합리화하면서 살아~~~~♡^^ㅗ 너의 합리화 점수의 박수를!! ㅃㅂ	0
23	인정하고 싶지 않은데 생각으론 맞으니까 그냥 가상과 현실 구분 빼액!! ㅇㅅㅠ 하구 자기합리화하는거아니야??ㅠㅠ 네가 여기서 우익 만화 빨고 소비하는 것 자체가 우익에 대한 ...	0
24	뭐라는거야 얘야 열폭 뜻 아냐구 물었지 ㅠㅠ 열등감 폭발이라는 뜻이야 대체 왜 내가 우익 빠는 애들한테 열등감 폭발해야 하냐는 뜻이었는데 열폭 열폭 계속 단어선택 미스나는 너...	0
25	어디서주워들은짧은지식과억지논리로멀쩡한사람들싸잡아빡대갈취급하고 넷상에서지혼자유식한척하며우월감느끼는니가훨씬한심해보임.	1
26	어서주워들은짧은지식과억지논리로멀쩡한사람들싸잡아빡대갈취급하고 넷상에서지혼자유식한척하면서우월감이라도느끼나?	1
27	억지논리로멀쩡한사람들싸잡아빡대갈취급하고 넷상에서지혼자유식한척하면서우월감이라도느끼나?	1
28	억지논리로멀쩡한사람들싸잡아빡대갈취급하고넷상에서지혼자유식한척하면우월감이라도느끼나?	1
29	차라리우리나라에서일본물건사고컨텐츠소비하며돈갖다받치니까지들옳은줄안다고하는게더현실성잇어보이는데일제품사용하지말라는소리를하세요.	1
30	만화를만화로보자하면무조건우익빠는거다?아주대단한흑백논리를펼치고잇구요그래말햇다고일본이지들옳은줄안다?	1
31	만화를만화로못보고현실로받아들이는니가훨씬한심해보임 아주진지3끼를잡수신듯.	1
32	우익빠는게아니라누구랑은달리가상하고현실구분할줄아는거지 한심하면그냥무시하면될걸따박따박똥글싸지르고잇는거에서부터열폭하고잇다는거잘보여주는데ㅋ	1
33	만화를만화로못보고현실로받아들이는니가훨씬한심해보임아주진지3끼를잡수신듯.	1
