	labels	reviews
0	0	다른구장도 아니고 대전 홈구장에서 선수가 억울해 하는데    머하고 계시나요?참나 어이가 없네 최감독님을 선수들이 어찌 생각 할까요?  그리고  다른팀 감독님들하고 다르게  멀 그리 적는대 열중하시던데   멀적으시는지   한화팬들에게 적은노트 공개좀 해 주세요 진짜 진짜 궁금합니다 일분일초를 다투는 경기중에 선수및 코지 다독거리고 챙기시기도 바빠야 하는거 아녀요 ?  그시간에 야구논문쓰시나요? 야구박사 될려구요?   참나 진짜 어이가 없네 오늘 이용규선수 항의때 남에일보듯 먼산보구 있는 최감독    참 어이가 없네 당신 한화 이글스 감독맞나요?이용규선수지휘하는 감독 맞나요?
1	0	SK 9위이고 한화이글스가 10위 꼴지인 이유!!!한화이글스는 SK에 승수자판기에 SK에 밥이거든요.....  SK와 1.5경기 차이에서 2연전 모두 패하고 3.5경기 차이로 벌어짐... SK 만나면 선발투수도 타자도 수비도 아주 오유월 강아지 떨듯이 벌벌떨다 선발투수는 정신없이 털리고 야수는 수비실책 하느라 바쁘고 타자들은 타석에서 조급증으로  초구, 2구에 붕붕 땅볼아웃, 삼진아웃... 데이터 참조 야구이론박사 최원호감독대행의 시즌타율 0.221, vs SK 타율 0.125 오선진 대타기용!!SK투수 박종훈 만나면 덜덜떠는 타자넘들과 박종훈에게 15연패 무승...SK와 경기하면 호구되는 한화이글스 SK와 경기에서 못이기니 당연히 10위 꼴지인것 입니다.9월10일 SK 5 vs 1 한화(패) 경기내용 SK 9안타, 1홈런, 1도루, 5삼진, 4볼넷, 1사구, 0병살, 0실책, <=> 한화 5안타, 0홈런, 0도루, 9삼진, 3볼넷, 1사구, 2병살, 0실책SK 선발투수 박종훈 7이닝 1실점,  불팬 김태훈 1이닝 0실점, 서진웅 1이닝 0실점, 총3명 등판한화 선발투수 서폴드 5.1이닝 5실점, 1홈런, 불팬 윤대경 0.2이닝 0실점, 김진영 1이닝 0실점, 장민재 1이닝 0실점, 안영명 1이닝 0실점, 총 5명 등판9월11일 SK 4 vs 3 한화(패) 경기내용  SK 8안타, 0홈런, 0도루, 5삼진, 2볼넷 0병살, 2실책, <=> 한화 5안타, 0홈런, 0도루, 11삼진, 4볼넷, 2병살, 2실책SK 선발투수: 문승원 6이닝 1실점, 불팬: 박민호 1이닝 0실점, 김태훈 0.2이닝 2실점, 서진용 1.1이닝 0실점  총 4명한화 선발투수: 장시환 6.2이닝 4실점, 3자책 QS(퀄리티 스타트) 불팬: 박상원1.1이닝 0실점, 강재민 1이닝 0실점 총3명6회말 최항, 최정 실책으로 2사만루 하주석 허흑삼진아웃 이닝종료.... 실책하고 투수맨탈 털리고 있는데 줘도 못먹고 무득점 이러니 꼴지 한화이글스...8회말 이용규 볼넷으로 무사1루에 노수광 타율 0.268 타석에  오선진 타율 0.221인데 대타을 내더니 병살타로 2아웃 노시환, 반즈 연속안타 주자1,2루 폭투로 주자 2,3루 5번타자 하주석 볼넷으로 2사 만루에 송광민 안타로 2타점, 2득점.... 대타 오선진 병살타만 아니었어도 동점이였음....그냥 노수광 놔뒀으면 볼넷출루도 가능한 상황이고 땅볼을 쳐도 노수광 발이 빨라서 병살타는 안되었을텐데...타격에 뭐하나 장점없는 그냥 내야멀티 대수비 선수 오선진 타율 0.221을 대타라고 내더니 무사 1루에 병살타....  노수광 시즌타율 0.268, vs SK 타율 0.417이고 오선진 시즌타율 0.221, vs SK 타율 0.125인데...  참 최원호감대 뭔 데이터을 본다는 건지 이해가 안됨!! 최원호감대 데이터가 아니라 좌투수에 우타자 그냥 좌우놀이 대타기용 아닌가?9회말  나참 박상언 애는 왜 1군에 있는거냐? 초구 땅바닥에 꽂치는 공에 헛스윙,2구 가운데 공은 멀뚱멀뚱 쳐다보고, 3구 떨공에 헛스윙..ㅋㅋ 삼구삼진 아웃!! 
2	0	이용규 말도 안되는 헛스윙콜 나오면 감독이 나와서 항의라도 해봐야 되는거 아니냐?롯데감독은 항의하다 퇴장당해서 역전승하던대 우리 감독대행은 관중이네 관중!홈경기인데 뭐하냐 진짜?!
3	0	성공하는 걸 한번도 못봄맨날삼진 아니면 병살대타 대타 대타 아웃 아웃 아웃작전좀 하지마!!!!그냥 가만히 좀 있어
4	0	허경민선수얼마를 주더라도 무조건 잡아라 허경민 이제만 30살이다 오재일선수86년생이고 이만한 1루수자원없다 꼭영입해야되고.최주한 선수도대려와야하고 양현종도대려오고 재발데려와  너네들이 사람이라면 한화 노장 선수 다 짜르고 fa영입하고 신인들로 팀구성하자 제발 너네들이 팬들의 생각을 조금이라도 듣는다면 제발영입좀 해자 제발 너내들 하는 야구  우리가 대려와도  야구다운 야구를해야겠지
5	0	장시환 예전모습을 돌아왔고...... 볼질시작... 폭투시작노시환 실책..... 야수들 실책 퍼레이드타자들은 여전히 타격 더럽게 못하고.... 반즈 애는 진심타격 더럽게 못한다... 외국인타자는 타격이 아니라 외야수&1루수, 수비용 으로 영입했냐?한결같이 야구 더럽게 못하는 한화이글스...ㅉㅉ 최원호감대 노시환 실책하는것 보고 왜 고개는 꺼떡꺼떡 거리는거냐? 노시환 실책할줄 알아서? 떨공삼진 최진행이 지명타자 아님 이성열 지명타자......ㅋㅋㅋㅋㅋ 차라리 노태형 지명타자로 써라...ㅉㅉ
6	0	박종훈 상대로 15연패째...선수고, 감대고 간에 이기는 방법을 알아도 안하는데 무슨 재주로 이길까??맨날 꼴찌만 하는 놈들이 자존심은 있고, 야구매너는 지키고??올해초에 박종훈 상대로 크게 점수 낸적이 있었다... 물론 동점을 허용해서 이기긴 했지만박종훈이 패배는 모면했었지...그때 한화 선수들이 했던 건...주자가 1루만 나가면 바로 도루 작전이었다....박종훈이는 모션이 커서 루상에 주자만 나가면 2루까지는 자동문인데... 도루 실패해도 계속 뛰면상대적으로 내 약점을 간파하고 있다는 생각때문에 원할한 컨디션으로 공을 던지질 못한다...예전에 이런식으로 박종훈이 무너뜨리고 단 한번도 그방법을 안쓰네??왜 주자만 나가면 2루로 도루하는게 얍삽해 보이고, 조악해 보여서 싫더냐??꼴찌 주제에??승부의 세계에서 치열하지 못한 놈들은 이미 선수로서의 자격이 없는거다...그냥 다들 짐싸서 대덕 산업단지 가서 용접이나 해라... 키큰 놈은 도배, 손재주 좋은 놈은 목수일이나 해...그게 니들이 갈 길이다...괜히 야구판에서 팬들 빡돌게 하지 말고...
7	0	박종훈이 선발이라고쌩뚱맞은 라인업 가동하더니 개처발라고그냥 순리대로 승리했던 좋은기억을 가진 라인업 가동하면돨껄 평소 하지도 않은 라인업 가동하다 대폭망그리고 대타 작전은 성공하는걸 한번도 본적없는데 경기후반이 의미없는 대타대타대타 !아웃 아웃 아웃
8	0	최원준이 재영수 만나서 잘하는거라던데 함덕주도 그렇고 우리가 두산으로 그렇게 허망하게 보내지만 않았으면배영수 코치시켰으면 좋았을텐데확실히 선수생화을 오래해서 그런가 전해줄 노하우가많나보내우리는 코치가 생각해보니 음음 정우람 선수도 코치시키면 잘할려나어쨋든 내년에 외국인감독 사단 데려올모양이니 그거에가대를해야겠네
9	0	나라도 임시감독에 잘 보일 라 할거없을꺼같고  내년재계약도 어차피 안댈꺼구남은기간 몸사리며 대충 연습피칭하듯 투구 할꺼가타요이럴꺼뻔히 다 보이는데   우리 신인투수들에게 경험 주는게 좋을거 가타요설렁설렁 아휴   큰돈주고 데려온 용병인데 활용을 10%쯤 하는거가타  화딱지가 나네요누구말들을까요 서폴드가  어디 동네 놀이터 나온거 가타요  최선을다한 투구며 선수 약점 연구는 하고 나와 투구하는건지  원 한화 스카우터 어디서 저런 인성을 가춘 투수를 그러케 큰돈을주고 데려왔는지  화딱지가 나서 원 분하네요 던지는거바요 150넘는 투구  한번이 없네요   설렁 설렁 강건너 불구경 하듯 한 투구 누가정신교육을저따위로 시켜놨는지   다른팀 외국인용병들은  몸안아끼고 최선을다 하던데   한화팀에선 외국인용병들에게 쩔쩔 매나바요 전에 한용덕감독도 용병들한테 쩔쩔매던대  감독도그러는데 누가 용병들 정신교육좀 처음부터 팀을위해 매 경기 최선을다하고 팀을위해 희생적인 인성을 가지게 만들을수 있는건 가요?   진짜 궁금하네요
