	labels	reviews
0	1	어제도 좋은 안타 때려주고  잘 맞은 것도 잡혀서 아쉬웠는데  이제 타격감 회복한 거 같네요 
1	1	어떤 상황을 계속 유지하기 위해서 변화를 주지 않는걸 말합니다. (아마 맞을겁니다.)   예를들어 연승을 위해 연승중에 수염을 깍지 않는다든가 목욕을 하지 않는다든가 등등..  하느님이 노할 징크스를 믿는데 왜 연승이 끊기게 돼는지 잘 생각해 봅시다.   감독의 무리수가 많다는 것입니다.  즉, 알수없는 선발이 그중 하나 입니다.  연승을 위해 변화를 주지 않는다고 해놓고 선발을 수시로 바꿉니다.  물론 체력보완이니 뭐니 자기 합리화를 합니다만~  그런데 이문제는 특정 감독에게만 있는게 아닙니다.  루키 감독이나 베테랑 감독이나 꼰대 감독이나 거의 다 같습니다.  이것은 '야구는 감독이 한다'는 고정관념이 없어지지 않기 때문 입니다.  ​임벽욱이 돌아오면 지금 잘하고 있는 대체선수를 빼겠죠?   박병호가 돌아오면 지금 잘하고 있는 대체선수를 빼겠죠?  박준태 때문에 잘하고 있는 변상권은 이미 뺐네요.^^    *번외  ​'결과론'이란 면죄부를 없애야 합니다.   작전을 생각한것도 감독이고 작전을 시킨것도 감독이고 작전을 시도 할 선수를 고른것도 감독 입니다.  그럼 실패를 한다면 모든게 감독 책임입니다.  ​  
2	1	1.-서건창(지명) 2.-김혜성(2루) 3.-김하성(유격수) 4.-이정후(우익수) 5.-김웅빈(1루수) 6.-허정협(좌익수) 7.-전병우(3루수) 8.-박동원(포수) 9.-박준태(중견수)   러셀은 휴식차 빠졌다네요 대타대기  참지8번으로 내린건 잘한거 같네요..!!  변상권은 오늘들어갈 자리가 없네요  서건창지타 허정협 요즘잘치니. 
3	1	불안합니다.  코치들 눈에는 다르게보이는지 몰라도 구위,구속이 1군에서 버틸 수 있을지 의문입니다.  어제도 엘지타자들이 생소함을 느껴서 공략못한 그런것으로 봤지 힘으로 제구력으로 이긴것이라고 보진 않네요. 한 이닝 맡기는 것보다는 좌타자만 상대하게 짧게 기용해야 될 것 같아요.   
4	1	에디슨 러셀 현 실력은 MLB 올스타 유격수가 아닙니다. 마차도하곤 비교도 안되고 솔직히 국내선수보다 못합니다.  시즌 타율 0.270 HR 3개 예상해 봅니다. 
5	1	
6	1	[5일치 연봉 삭감대상].....팀에게 전혀 보탬이 안됨 러셀(실책의 달인 똑딱이)  [1일치 연봉보너스 지급대상].....비교적 잘함 김하성,   변상권,   박준태,   김혜성,  김선기,   양기현,   김성민,   김동혁  [5일치 연봉보너스 지급대상].....엄지척 허정협,   이정후  러셀은 키움팀에 놀러왔나?....2군으로 가서 혹독한 훈련이 필요함. 허정협(연봉3,500만원), 전병우(연봉2,900만원), 변상권(연봉2,700만원),  박준태(연봉6,000만원)등 저연봉선수들이 연봉20억원 박병호보다 팀에 기여도가 높다.... 박병호 퇴출시키고 20억원으로 저연봉 선수들의 연봉을 높혀주어야 한다. 프로의 세계는 가혹한 것이다...연봉은 실력으로 말해야 한다. 부상 안당하는것도 실력이고,  행운의 안타도 실력이다....​  
7	1	오늘 선발 투수인 두산 최원준이 사이드암 투수라 우타자 상대 OPS 0.698 / 좌투수 상대 OPS 0.820으로 차이가 좀 나는게 좌타 도배가 필요한 상대  반대로 러셀은 상대팀들이 죄다 옆구리 투수로 저격할 정도로 약한 타자(옆구리 투수 상대 타율 0.214)인데 경기 후반 대타 대기 시키는게 낫죠.   내야는 1루 웅빈-2루 혜성-유격 하성-3루 병우가고, 애매한건 외야에 정후-준태 고정에 최근 타격감이 괜찮지만 옆구리 투수 상대로 노답 수준으로 약한 허정협(옆구리 투수 상대 타율 0.111)을 빼고 좌타인 변상권을 넣느냐 정도 
8	1	폼을 바꾸고나서 좌타자에게 엄청 강해줬네요 중요할 때 좌타자 원포인트 가능하겠어요 
9	1	내년에도 히어로즈에 남고 싶어하는 것 같네요. 기대에 못 미치는 성적이긴 한데, 내년에 연봉 삭감하면 계속 히어로즈에서 뛸 수 있을 겁니다. 구단도 다른 마땅한 대안이 없으면 러셀과 같이 내년까지 갈 수 있겠죠.  
10	1	 엘지와 1승 1패를 나눠 가진 것은 정말 다행이었다고 생각합니다. 선수들이 집중력을 발휘해서 이길 수 있었던 경기 였습니다.    이번주 두선전을 남기고 있습니다. 현재 히어로즈가 두산과 가장 많은 경기가 남아 있기 때문에 순위 싸움에 상당한    어려움이 있을 것으로 예상합니다. 그래서 이번 2연전이 무엇보다도 중요합니다.    솔직하게 1위는 어렵다고 생각하지만 이번 2연전을 모두 잡으면 가능성이 있다고 생각하기 때문입니다.    무엇보다도 중요한 것은 떨어진 공격력을 보완하기 위해 상대 선발 투수에 대한 전력 분석이 세밀해져야 합니다.    1차전 최원준, 2차전 함덕주로 예상되는데요.... 자세히 살펴보도록 하겠습니다.    1. 최원준의 공략    최원준의 최근 활약이 좋다는 것, 요키시의 컨디션이 어느 정도 올라왔느냐가 전체 게임의 향방을 가를 것 같습니다.    여기에 변수를 주기 위해선 반드시 최원준에 대한 공략은 필수입니다.    최원준을 한마디로 정의하자면 한현희 다운그레이드 버전입니다.....    직구 위력은 한현희 보다 떨어지지만 체인지업의 변화각과 커맨드가 좋습니다.     즉 양타 바깥쪽 커맨드에 대한 공략에 실패하면 매우 어려운 경기가 예상됩니다.    다행인 것은 최원준은 한현희보다 팔의 각도가 미세하게 아래쪽에 형성되어 있기 때문에 패스트볼의 변화각과    히어로즈의 스윙 궤적이 어울릴 수 있겠단 생각이 듭니다.    다만 컨디션이 좋을때는 패스볼의 탄착군이 이상적으로 형성되고 있습니다. 스트존 가운데에서 공하나 정도 위로    형성된다고 보시면 되고, 이 공이 좌우로 커맨드가 되면 상당히 고전할 가능성이 높습니다.    특히 김웅빈, 김혜성, 변상훈, 서건창 등 우리 좌타라인이 의외로 고전할 가능성이 있다는 것이죠...    김웅빈고 김혜성의 경우는 스윙 스팟에 맞추지 못할 가능성이 높습니다.    박동원, 허정협, 전병우의 경우에는 최원준의 바깥쪽 슬라이더에 대한 선구가 무조건 중요합니다.    우리팀 선발이 요키시 임을 고려했을 때 무조건 잡아야 하는 경기이죠.....    2. 함덕주의 공략    선발투수로서의 함덕주는 임팩트 있는 경기를 보여주었습니다. 함덕주의 경우 라인업을 어떻게 구성하느냐가    매우 중요한 경기입니다. 특유의 투구폼으로 좌타에게 악몽과 같은 디셉션을 가지고 있기 때문에 김웅빈, 김혜성,     허정협이 공략하기 매우 어려울 수 있습니다. 함덕주 선수의 슬라이더에 대해 어떻게 공략하느냐가 관건이 되겠네요...    무엇보다 중요한 것은 선발 투수에서 힘의 차이가 난다는 것입니다. 그래서 가장 중요한 것은 함덕주를 얼마나    빨리 내리느냐입니다. 그리고 이 키를 쥔 선수는 서건창과 박준태라고 생각합니다.    이례적으로 1번 서건창, 2번 박준태도 괜찮다고 생각하는 이유이기도 합니다.    경기초반 최대한 우리 야수들에게 공을 많이 보여주게 할 수 있는 상황을 만드는 것이 경기 초반에는 중요해 질 것    같습니다.    함덕주는 오히려 김하성, 러셀에게 약할 공산이 있다고 보여집니다. 물론 실투를 놓치지 않아야 한다는 전제에서요...       두산전 1, 2차전은 무엇보다도 경기 운영이 중요합니다. 변칙적인 라인업 구성은 2차전에 2번 타자가 핵심일 것 같구요..   초반 대량 실점으로 경기를 어렵게 하지 않는 이상에는 중후반에는 유리할 것이지만..... 2차전 김재웅이 두산의    좌타라인을 버틸 수 있을지가 걱정입니다...    그래도 좌타수니 기대해볼 수도 있겠죠.....    손혁 감독님.... 어려운 상황인 만큼 정신줄 좀 찾읍시다....    1. 박동원이 선발로 들어가더라도 선발 내려오면 이지영으로 포수 교체해야 합니다.    2. 김웅빈 바깥쪽 높은 공 헛스윙률 개선하기 위해선 당연히 스트존 좁게 보라고 강도 높게 이야기 해야 됩니다.    3. 필승조, 추격조 섞어서 경계를 허물 수 밖에 없는 조건인거 이해합니다. 하지만 추격조의 등판하는 경우의 수는        2가지입니다. 이기든 지든 점수차가 많이 나고 있는 상황, 또는 원 포인트가 필요한 상황입니다.    4. 번트 무분별하게 남발하지 좀 맙시다. 결과가 좋으면 상관없지만 번트만큼 결과가 나쁘면 팀에 미치는 영향이 큰    플레이도 없습니다. 경기 후반 1점을 내는게 중요하다고 생각할 때 제발 타자가 가지는 고유의 값을 가지고 대타작전   좀 잘 씁시다..... 당겨치는 것 밖에 모르는 타자에겐 무조건 공을 띄어야 하는 부담이 생기잖아요....    5. 무엇보다도 수비 실책을 줄여야 합니다. 한가지 우려되서 하는 소리인데요.... 좌타가 많은 두산을 상대로    수비 어떻게 해야 할까요...... 김혜성이 무조건 2루여야 하겠죠......    6. 6회 이전에 상대 투수에 타격 밸런스 안맞는 선수가 있으면 과감히 뺍시다.       
11	1	23루에 세워놓고 초반부터 낼점수 내니까  얼마나 편합니까ㅠㅠ  맨날 만루, 23루에서 점수도 못내고  바로 다음이닝에 상대에게 실점하고  너무 뻔하고 똑같은 패턴에 지치고 화도 났는데  오늘처럼 득점권에서 찬스 살리니까  경기를 얼마나 쉽게 풀어갑니까.  팀배팅의 중요성 항상 느끼네요.  큰거 한방보다 팀배팅으로 한점 한점 내봅시다.  이제 정말 중요한 두산과의 경기네요.  요키시가 잘해주기를!! 
12	1	중요한 순간에 무너지지 말고 꼭 선두 탈환하길 바래요 
13	1	﻿다음주 고척 롯데전에서 꼭 볼 수 있기를 진심으로 기도합니다.  
14	1	내가 개인적으로 장담하건데 포스트 시즌에 KBO의 감을 확실히 잡을 겁니다. ^^  그리고 수비의 합이 아직 맞지않는데 어쩔 수 없습니다.  계속 같이 합을 맞춰야 하는데 내년에 우리팀에 남는다면 완벽히 적응 할 겁니다. 
15	1	﻿1위부터 7위까지 전부 위아래가 한게임 반차입니다.  ​ 이제 시즌 말미를 향해 가고 있는데  이렇게 상위권-중위권 싸움이 치열했던 적이 ​있나 싶습니다.  ​ 관중 들어왔음 대박 났을텐데 정말 아쉽습니다. ​  
16	1	올 시즌 포스트시즌에서 다시 맞붙을 수 있는데 마지막 게임을 기분 좋게 마무리해서 다행이네요. 
17	1	러셀 선수의 실책이 상당히 많네요. 메이저리거라고 해도 우리나라 야구에서는 좀 더 분발할 필요가 있어 보여요... 
18	1	어제 엘쥐와의 맥 없는 패배로 낙담한 저는 오늘 승리해서 1승 1패만 되길... 기원 했는데... 오늘 승리로 소원 성취 했습니다...  2회 공격 때 참으로 기분 좋았습니다. 내일도 꼭 부탁드립니다... 
19	1	LG 전  16차전 .  8 대 2 로 승리 .  축하합니다  .  초 전 박 살 로   끝내주는 .  에이스 투수  브리검의  5이닝 역투와2회초에만  7안타를 폭발시키며  7득점에  성공 ,빅이닝으로  완성하면서   낙승 .  브리검투수는  5이닝동안  99개의  투구수 ,5피안타 8탈삼진 1 볼넷   2자책점  기록 .초반  출발은  좋았는데  4회에  33개 투구,  5회에  21 개 투구 등 .제구가  흔들리며   많은 공을  투구했지만타자들의  도움을  받으며   쉽게  6승째  승리  챙겨 .  이정후선수와  김혜성선수의  방망이가살아나서  더욱  기쁘네요 .  2회초에  집중력을  발휘 .11명의  타자가  타석에  들어서서  7득점하며  빅이닝  완성 .  이정후    좌전안타 .  러셀    우전안타 . 의도적으로  밀어쳐서  안타를 .쎈스 좋아요 .  무사1,2루에   허정협    보내기번트  성공  .  1사2,3루에    이지영   몸에맞는 볼 . 1사만루에   변상권    2루땅볼로  1타점 .  점수  1 대  0 .  2사1,3루에    박준태     내야안타로   1타점 .점수  2 대 0 .  2사1,2루에    김혜성    우월3루타로  2타점 .점수   4 대 0 .  우익수  너  전진수비 했지  너  잘했어  . .  우리  김혜성선수를  잘  모르는구만 ㅋ ㅋ ㅋ  2사3루에   전병우   좌전안타로   1타점  .점수   5 대 0 .  ㅎ ㅎ ㅎ2사1루에   김하성   좌익선상2루타 .  2사2,3루에   이정후    좌전안타로  2타점 .점수  7 대 0 .  쐐기타까지  ㅋ ㅋ ㅋ . 2사1루에   러셀    우익수플라이 .윌슨   투구수  47  개 .  윌슨   2회에만  투구수  35 개  기록을  , .  3회초와  4회초에는  키움 타자들이우천으로 경기가  취소될까봐서  빨리 빨리  아웃돼주는쎈스까지 ㅋ ㅋ ㅋ . 5회초 .  김하성     좌월2루타 .이정후     중견수플라이.   김하성은  3루까지 진루 .  1사3루에    러셀     유격수땅볼 . 2사3루에     허정협     우전안타로  1타점  .점수   8 대 1 .  결대로  잘  밀어쳤네요 ㅎ ㅎ ㅎ  나이쓰 .  2사1루에    이지영     우익수플라이. 윌슨   투구수  76   개 ..   . 
20	1	오늘 NC 가 대승할 확률이 높으므로  승차는 그대로임.. 
21	1	타팀보다 경기수도 많고 잔여 경기 많이 이겨놔야될텐데‥  돔구장이 썩 좋은건 아닌 듯 ㄷ 
22	1	우리 선수들 비오는데, 특히 어린 친구들이 마지막까지 열심히 싸워주는 모습에 뭉클했습니다.  힘들어도 올 시즌 끝까지 우승을 희망을 이어나가며 싸워주시길 바라며  오늘도 힘내줘서 고맙습니다~~ 
23	1	발등 부상후 깨진 벨런스로 2주간 타격감 잃어버렸지먄...  그걸 2주만에 극복하는 이정후는 천재소리 들을만 하네요...  그나저나 러셀은 완전 론스타급 먹튀가 될듯... 
24	1	이젠 기대감도 읍다ㅋ  타격도 그렇고 아까 수비도 다이빙 안 하는거 보면ㅋ 
25	1	﻿왜 안 나오죠?  타격감..식으면 안되는데.... 
26	1	아니 박삼진을 왜 대타로 내나요? 몇경기 빼라 했는데 3구삼진 4구삼진에 트리플악셀을 밟는 선수를~ 진짜 성의없이 경기한다고 모든 팬들이 난린데~ 손감독 친척이라도 되나요? 오늘 경기도 내줄라고? 참나~~ 
27	1	오랫만에 편안경기 하고있는데, 뜬금없이 참치를 왜 대타로 내지? 헉 감독의 참치 사랑은 못말려.. 쥐잡기할때 확실히 잡읍시다. 
28	1	누가 봐도 아닌데 왜 박동원을 고집하냐고? 차라리 그 타석에 기웅빈을 쓰지... 왜 김웅빈에게는 기회 안주고 타격 개판인 박동원을 대타쓰냐고? 
29	1	어제는 욕 했지만 사람이 뭐 그런거지.. 비 많이 오는데 그냥 키움 승리로 겜 셋 해라.  산성비 맞으면 머리 빠져.. 
30	1	오늘 최종 스코어는 20대 0 정도면  만족할 것 같습니다..  쥐를 털자.. 쥐를 털자.. ㅋㅋㅋ 
