	labels	titles
0	1	혜성선수도 살아났네
1	1	징크스란 ?
2	1	오늘선발  라인업 !!!
3	1	김성민선수 
4	1	에디슨 러셀
5	1	김성민선수
6	1	9월4일 경기 연봉정산
7	1	오늘 김웅빈 출전 가능하면 러셀 빼야죠.
8	1	김성민 선수
9	1	아무래도 러셀 선수는
10	1	두산전을 임하는 자세
11	1	이렇게 초반부터 편하게 봤던게 얼마만인지ㅠㅠ
12	1	잘했어요
13	1	박병호 : 아 ~
14	1	러셀은 말이죠.
15	1	1위부터 7위까지 전부 한게임 반 차 
16	1	쌍둥이와는 시리즈 마무리
17	1	에디슨 러셀
18	1	일단. 소원 성취...
19	1	LG 전 16차전 . 8 대 2 로 승리 . 축하합니다 
20	1	오늘 NC 가 대승할 확률이 높으므로  승차는 그대로임..
21	1	불안한 2등
22	1	오늘도 힘내줘서 고맙습니다~~
23	1	타고난 천재는 스스로 해결...
24	1	러셀이 러셀했네ㅎ
25	1	타격감 좋은 김웅빈은~
26	1	왜 박동원을~~
27	1	헉 감독의 참치사랑
28	1	손혁은 박동원에 대한 미련을 아직도 못버리네...ㅜㅜ
29	1	사실 허정협 선수 최고죠
30	1	자.. 흥분 가라앉히고, 다시 한 번 더 빅이닝 갑시다...
31	1	사실 어제도 주심놈 때문이었지 타격은 괜찮았죠
32	1	키움 귀요미들^^
33	1	또! 여유 부린다고  라인업  선발들 다빼는건 아니겠지..
34	1	타격 메롱이라고 어제 6회부터 안 본 형이 미안했다
35	1	속이 다 후련합니다!!!
36	1	타선 폭발
37	1	우와~~ 잘하네요..^^
38	1	2회에 번트 김재박 재림이냐  ㅎㅎㅎ
39	1	무기력하네요
40	1	타팀들 1선발을 언제 공략할수 있을까요..
41	1	포지션좀 고정해라 제발
42	1	이팀이 손혁만 욕해서될일이아님
43	1	키움 내야 변화, 러셀 2B-김혜성 SS 선발…LG는 그대로
44	1	"러셀 벌써 8실책' 손혁의 분석 ""그래도 ML 올스타 출신"" 믿음"
45	1	매일 실책하는데 매일 포지션 바꾸는 명장병 감독!!!
46	1	오늘은 러셀2루수 ㅎㅎㅎ 대단하다 진심 손혁 감독
47	1	오늘은 무조건 잡아야
48	1	차라리 오늘 우취되길~~
49	1	그리운 장정석 감독님~
50	1	박병호 복귀는 아직인가요
51	1	키움 실책1위 대책은?
52	1	프런트님....우리는 정말 lg 외국인투수에게 정말 안 되는 건가요???
53	1	왜 제 글 썰으세요?
54	1	오늘만은 꼭
55	1	손감독이 잘하는게 뭘까요??
56	1	러셀 수비 실책 ㅡㅡ
57	1	당분간만이라도 1웅빈 2러셀 유하성 3병우 고정하는게 좋을거같아여
58	1	순위표 보니 화가 치미는군요..
59	1	올해는
60	1	선수 기용을 왜 이따위로 하는지? 
61	1	한마디만
62	1	타순을 짤 수도 없겠다는 생각
63	1	108경기째. 지치네요. 
64	1	안이한 플레이가 문제
65	1	9월10일 경기 연봉정산(100%손혁책임)
66	1	감독 미워요.. 정말 너무
67	1	브리검 vs 윌슨
68	1	쥐들 모두 쓸어버립시다...^^
69	1	선수들을 왜이렇게 못 믿냐고
70	1	오늘은 경기를 봤습니다. (손혁  OUT!)
71	1	손혁의 경기 운영과 박동원 ??
72	1	러셀은 돈 아깝네요
73	1	기회 따위는 개나 줘버리는.....
74	1	작년에 우승놓친게 제일 크다 
75	1	샌즈한테  후려칠려다가 까이고서 100만불 제안했다고 언플질 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
76	0	최선을 다한 한현희 선수에게...
77	0	여기 있는 사람들은 손혁 까는거밖에 모르나? ㅋㅋㅋㅋ
78	0	손혁 제발 내보내주세요
79	0	설마 히어로즈...
80	0	이장석 구단주님 그립습니다
81	0	진심 기도한다... 손혁 Get Out
82	0	팬님들 제발 손혁에게 기대하지좀 말아요.
83	0	10개구단 스카우터 10등이 키움인듯..
84	0	져도좋다 수비고정좀해라
85	0	러셀
86	0	여러분 최악의 상황이 올 수 있어요
87	0	비방성 글......
88	0	정말 최악의 감독이 온듯
89	0	감독 제발 이러지말자.. 진짜 너무 싫어
90	0	이 팀은 최종 순위 6위로 강등되길 바랍니다
91	0	아니 이지영은 미운털 박힌거냐 혁아~
92	0	손혁이 이런생각이 있다면  끔찍합니다
93	0	스카우터는 뭘 하길래 용병을 이따구로 뽑아오는건지?
94	0	손혁 OUT!
95	0	똘 감독 필패 전략
96	0	아니 선수분들
97	0	수비문제 좀 어떻게 하세요 제발...
98	0	다시  3위   낼  엘지와의  상대  마지막 경기
99	0	당장 김혜성 2군으로 보내세요
100	0	이럴거면 6위나 해서 준플도 나가지 마라
101	0	일단 팀 수비고정된 애가 포수빼곤 다 뺑뺑이 손혁은 진짜 미친건지?
102	0	러셀이 망가진 시점
103	0	이 좋은 멤버로 잔머리 굴리다가ㅋ
104	0	멀티포지션...개 풀뜯어먹는 소리
105	0	저 용병 때문에 기존 선수들 수비 위치를 박살낸건가요?
106	0	김태형 같은 감독이 필요합니다.
107	0	진짜 바쭈카포로 면상 날리고 싶네
108	0	5위 6위 바로 앞에 있습니다
109	0	어쩔수가 없어요
110	0	지금 타선
111	0	다른건 모르겠고 아이큐가 제로 일거 같은
112	0	진짜 너무 실망 입니다!!
113	0	6위까지 내려갈 수도 있다는 것 
114	0	차라리 모터가 낫네
115	0	내일 퍽도 이기겠다
116	0	웃음만 나오네요
117	0	혈압
118	0	모터한테 도게자 박고 스카우터 전원 사퇴해라
119	0	중요한 때마다실책~실점~우리는 매번 기회를 날리고~
120	0	러셀 그리 잘하지도 못한선수 왜 데리고 옴?
121	0	내일도 패한다에 한표 던집니다~
122	0	이지영 ㅋㅋㅋ
123	0	여기서 이지영..ㅋㅋ
124	0	이정후 그냥 자동이네
125	0	김웅빈은 왜 뺐을까? 서건창빼구 지타기용하지
126	0	수비 위치좀 그만 바꿔 이 ㄱ
127	0	러셀 2군 보내라
128	0	맨날 1점만
129	0	류중일 봐라
130	0	진해수는 왜 매번 이정후 선수만 상대하나요?
131	0	이 멤버로 팀 실책 1위인 이유
132	0	그렇게 흐름을 모를까
133	0	박동원만 나오냐 박동원만 박동원만 왜~~~
134	0	수비.. 러셀의 실책이 또 경기 결과에 지대한 영향을 주네요.
135	0	키움만나면 벌벌떨던엘지  기살려주내 손혁이가
136	0	야구 잘하던 김웅빈빼고 김혜성넣고 수비보완한다고 ㅈㄹ하더니 실책덩어리
137	0	손혁 정말 이제 할말이 없다.지친다 
138	0	왜 자꾸 박동원만 고집하냐
139	0	감독이 이기고 싶은 생각이 없는 것 같다.
140	0	ㅋㅋㅋㅋㅋ존나 잘하네 ㅋㅋㅋㅋ
141	0	내일도 어려울것 같아요~이유는
142	0	돌혁아 게임하냐
143	0	무사 2,3루 득점없이 끝날때 알아봤다
144	0	와... 진짜 할말이 없다
145	0	손혁쳐자냐??
146	0	이지영은 왜 계약 했나요?
147	0	러쌜은 수비가 안되네요,타격도
148	0	에고
149	0	러셀.....지명 타자로, 수비가 안된다.....
150	0	샌즈는 오늘도 투런 ㅋㅋ 일본 폭격중 개빙신 놔잆는 프런트들 역대급 외인 놓침
151	0	김하성, 이정후, 박준태, 김웅빈  빼고는
152	0	와 홈런
153	0	동명2인?
154	0	단 한번이라도 좋으니까 1등 한번 해보자
155	0	손혁 참 대단하다. 어떻게 귀신 같이 다 맞추냐?
