	reviews	label
0	진짜 꼭 봐야되는 쌉띵작 ㅜㅠ얘들아 사랑해	1
1	ㅇㄴ라프텔에서 가져왔으면 좋겟다고 그냥 생각만했는데 진짜 가져와주시네 ㄱㅅ합니다 라프텔갓갓갓 흥해라 애니떠도 영상 어케보나 고민했는데 감사합니다ㅜㅜ	1
2	오이오이 라프텔 믿고 있었다구!!!! 절대로 시청해줄테니까 자막만 오역없이 달아달라구!!!!	0
3	2기는 빠르면 1~2년 안에 나오고 늦으면 3년이 걸릴 수 있다고 하네요...여러분 이 댓글을 보면 명심하세요 굿즈나 만화책이나 많이 사세요~ 사면 2기 나올 확률이 크니깐 명심하세요 ㅎㅎ..전 만화책 샀어요..ㅎㅎㅎ 굿즈나 만화책 많이 안팔리면 2기 못나올수도 있어요..거짓말안하고 진짜로요..마지막으로 하나코 사랑해	1
4	아 이거 너무 띵작이에요 여러분 이거 진짜 보셔야해요 너무 무겁지도 않고(..??) 가볍지도 않습니다 하트풀 코미디라잖아요ㅠㅜㅜ 진짜 재밌어요.. 영업했는데 한번도 실패한적 없었고 다들 못 헤어나온다구요 하나코 네네한테 플러팅하는거 진짜 천재가 아닌가 싶고 왜 안사귀는지도 모르겠고 으악 두근두근 어쨌든 그냥 갓띵작이에요ㅜㅜㅜㅠ한번만 봐줘요 저도 맛만 보려다 어느 순간 허버허버 먹고있어요 와 그냥 너무 재밌고 솔직히 로판코미디면..뭐 긴말이 필요가업읍니다...한번만 믿어봐요후회안함사실주접더부리고싶은데글자제한있네어쨌든봐줘요사랑해얘들아♡	1
5	완전 조으당❤️	1
6	최고의...최고의...최고야.... 너무 좋아 행복하다 어서 우리애들 움직이고 말하는 것 보고 싶어요 ㅠㅠㅠ 🤣🤣🤣	1
7	하나코 아이시떼루!!	1
8	만화책에는 여혐은 있는데 우익은 없거든요!!!!없다고!!!!!!!우익은 성우가 우익이라고!!!근데 썅 성우도 작가님이 정한거 아니라고!!! 그리고 여캐 배제 좀 하지마!!!!!!!!!하지말라고!!!!!!!!!!!!!!네네 좀 욕하지마!!!!!!!!	1
9	2기 100%나옴	1
10	드디어 이작품이 오는구나	0
11	키토 아카리님 팬으로써 네네 역이자 엔딩을 부르시게 되셔서 너무 좋습니다.. 진짜 엔딩은 띵곡인것 같고 네네쨩 목소리 너무 기여워요 ㅠㅠ(키토 아카리님은 블렌드 에스키호 ,귀칼 네즈코,나에게 천사가 내려왔다 ! 노아 등등 맡으셨습니다 ! )작화도 너무 좋구 원작 그림체 잘살려서 잘나온것 같아요 ! 애니메이션도 짱 성우분들도 짱 ost도 짱.. 그냥 다 좋습니다 흑흑...ㅜㅜ +(코우미츠는 찐입니다 ) 	0
12	색감 오진다... 하나코 미친 넌 이제부터 내 최애다. 진짜 색감ㄷㄷ	0
13	코우 사랑해~ 8ㅁ8 언능 나와주렴	1
14	아니... 작붕 엄청 심각... 라르케 ㅈㅂ... 만약 2기 나오면 라르케가 만들지 마라 ㅈㅂ 작붕만 없으면 엄청 갓띵작인데...;;작붕때문에 썩은 눈 원작으로 정화해야지...	1
15	얘들 너무 귀욤 뽀작해요..😭😭💕	1
16	하나코 사랑해ㅠ😭❤️❤️❤️❤️	1
17	진짜 완전 띵작♡ 이거는 만화보고 봐야 한다...ㅜㅜ	1
