	reviews	label
0	스타워즈는 전 시리즈를 다 봐야 함. 	1
1	자자 빙크스를 주깁시다 	0
2	4 5 6 보고 1 봣는데왜 평점이 개그지임?? 재밋었는데?뭐야이거.. 	1
3	어렸을 적에 본 포드레이싱은 아직도 날 미치게 한다. 	1
4	스타워즈는 참 대단 합니다!! 	1
5	와... 이래서 스타워즈 하는구나.. 1999년도에 제작했다는게 믿기지가 않을정도... 	1
6	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ굿 	1
7	스타워즈는 언제봐도 명작! 	1
8	개인적으로는 3편이 좋은데 1편도 좋아요! 	1
9	참 형편없는@자자삥크스 	0
10	자자 빙크스 입에 자물쇠 채워버리고 팔다리를 없애 버리면 10점. 	1
11	여러분 456123 순으로 봅시다... 스카이워커의 탄생을 본 것 만으로도 만족합니다!! 	1
12	자자 빙크스 때문에 평점이 말이아니던데 빙크스가왜?? 	1
13	라스트 제다이를 보고나서 프리퀄이 명작이었음을 알았다. 에피소드 1도 거슬리는 쟈쟈 빙크스만 빼곤 괜찮아ㅛ음. 다스 베이더의 순수했던 소년 시절과 파드메와 아나킨의 첫만남을 몰입해서보면 정말 잘 만든 영화다. 	1
14	스타워즈 매니아는 아니어도 스타워즈 1부터 클론전쟁, 로그원, 최근나온 스타워즈7,8 라스트 제다이까지 다봤는데 프리퀼 3부작이 쓰레기 취급받는게 이해가 안됨..본편인4~6편이 워낙 잘만든것도 있지만 에피소드 1~3...	1
15	요즘나온 에피보고는.. 이 에피소드가 얼마나 대단한지 새삼 느끼게 된다.. 2대 1 광선검 대결도 정말 멋졌고, 레이싱 장면도 정말 수준급이다. 	1
16	요다가 1977년때보다 더 부자연스러워ㅠㅠㅠ 그래도 스타워즈는 존재만으로도!^^ 	1
17	어릴적 아버지께서 나를 데리고 극장에 가서 이걸 같이 보셨지. 둘다 내용도 모르고 붕붕 칼싸움하고 우주선레이싱 하던거 봤는데 그게 벌써 20년 가까이 된 추억이 되었네 	1
18	포드레이싱하나만으로도 10점 줄만하다. 	1
19	스타워즈 시리즈의 첫 출반선 아주 굿~ 	1
20	스타워즈 1편은 내가 스타워즈를 좋아하게된 출발점이다. 	1
21	이 영화의 묘미는 아나킨 스카이워커의 유년기와 콰이곤 제다이 선생님의 중립적인 관점임. 	1
22	레이싱 장면의 광활한 스케일이 매력 쩔. 	1
23	눈이 너무 즐거움을 주게하다. 	1
24	스타워즈 시리즈에 입문하게 된 작품이자 볼때마다 재밌는 작품. 포드레이싱 경주와 광선검 대결, 대규모 전쟁, 아름다운 영상미 등 완벽한 작품. 	1
25	평점이 왜이리낮지..짱잼있었는데.. .456편을 안보고 오신분들인가? 	1
26	10점 주고 싶은데 자자 그 ㅅㄲ 때문에 8점이다. 자자는 쓸데없이 왜 넣어가지고 	1
27	라스트제다이 보고 보면 갓영화 	1
28	루카스가 에피소드 시리즈 만든건 자기 이름에 먹칠한격 	0
29	뭘 어떻게 봐야 10점을 줄수 있을까? 그것이 알고싶다 	0
30	꼭 이 스토리를 알아야 했나? 	0
31	에피소드1 이거 뭐야 ㅡㅡ;; 	0
32	1. 클라이맥스가 클라이맥스같지 않다. 2. 이름을 듣기만 해도 오줌이 나올만한 배우들의 연기력이 각본때문에 묻혔다.3. 자자 빙크스 	0
33	내가 이 영화로 맨 처음 스타워즈를 접했다는 사실이 저주다. 	0
34	스타워즈 이제부터 시작이다. 	1
35	스타워즈는 아나킨 스카이워커의 이야기이다. 그리고 에피1은 아나킨의 유년기 이야기이다. 물론 아나킨 스카이워커라는 인물에 관심을 가지고 보지 않는 이상 이 영화는 쫌 지루하고 짜증날 수 있다. 	1
36	대화장면에만3D처리자동차경주마지막전투씬에는거의없고실망ㅠㅠ 	0
37	지루함.. 	0
38	최악완전4d로돈벌어먹을려고만든영화!배우들이아깝다ㅜ졸음참느라죽는줄알았네ㅜ 	0
39	아나킨의 연기, 자자 빙크스, 지루함. 이것만으로도 이영환 스타워즈에서 제일 떨어지는 작품이다. 1점짜리는 아니지만, 에피소드 2보단 낮아야 하기에 1점. 	0
40	12분 48초에 맥그리거 원주민 쳐다보는 거 보세요. 눈이 하늘을 찌르네 원주민은??조지 루카스는 절대적<<이라고 생각했는데 연출 정말 코메디처럼 해놨네요. 어떻게 기술은 더 진보했는데 스타워즈 4~6보다...	0
41	출판계에는 유령작가가 있다는데 조지 루카스도 유령감독을 고용한거 아니냐? 아무리 애라도 꼬마 아나킨 발연기 너무 심함, 삼촌이 조지 루카스라도 되냐? 마지막으로 자자 빙크스 좀 죽여라. 조지 루카스는 제정신으로 자자...	0
42	이 영화는 두말할것도 없이 말이 필요없는 졸작이다...조지 루카스 정말 	0
43	좋은 팬메이드 영화네요. 보이지 않는 위험은 이 영화 자체인 것 같아요 	0
44	아무리 스타워즈 시리즈라고 해도 10점은 아님 일단 스타워즈 시리즈 답지않게 분위기가 너무 가벼움 	0
45	Fuck you Jar Jar 	0
46	진짜 조악하다 아예 애니메이션으로 만들던가 	0
47	나와는 안 맞는 듯. 상당히 지루했고 아나킨의 발연기 봐줄 수 가 없을 정도. 	0
48	1편은 마지막빼고 지금보면 좀 시시 	1
49	이게 제일 기억에 남는 최고의 시리즈 	1
50	지금나오면 9점 받을 영화인데 	1
51	스타워즈 그 시작은 위대했다... 	1
52	쟈쟈랑 장군님 축지법 어이가없다 	1
53	로즈를 보고나서 자자 빙크스님의 위대함을 깨달았습니다. 	1
54	느금마 자자 빙크스 ㅅㄱㅇ 	0
55	정감가는 캐릭터도 없고 스토리도 엉망 연출.특수효과 엉망 최악!!! 	0
56	하나도 재미없음 	0
57	제발.. 36000원주고 보는데 둘 다 졸음.. 돈 아까워서 억지로보는 이기분...열받음 	0
58	다시보니 1편 명작이네요. 	1
59	사람들 돌았냐?이게 어떻게 별4개냐?1편은 존나 이뭐병이다. 	0
60	조자 루카스의 연출력= 자자빙크스 	0
61	소년시절의 아나킨이 등장하는 점은 흥미롭지만 전체적으로 부실하군 	0
62	팬들의 기다리게 했지만 실망만 안겨준 시리즈의 부활 	0
63	스타워즈라는 제목을 낭비한영화 	0
64	자자빙스때문에라도 1점 깎음. 	1
65	찐 스타워즈 매니아로서 낮은 평점 안타깝네요. 스타워즈는 기본적으로 어린이포함 가족영화입니다. 123456 전부 유치한 부분들을 장착하고 있는게 사실이죠. 456편이 먼저 공개된 상태에서 새로 시작하는 프리퀄의 중심...	1
67	심장이 깨어났을 때의 처음 그래프 소리가 경쾌하고 묘하다. 다스베이더의 눈을 그리기 시작하는 화룡점정의 첫 단계. 그래픽 티가 아니라 그래픽화, 90년대 어색하지만 엣지 있고 마음껏 크게 표현할 수 있는 그래픽 기술...	1
68	강소라 더빙 연기 장난하냐????? 대본 읽냐? ㅋㅋㅋㅋㅋㅋㅋㅋ 	0
69	뻥치자마. 넌 디즈니가 아냐. 	0
70	더빙 보지말고 자막된거봐라솔직히 저평가되었다고 생각함 	1
71	진짜 강소라 더빙은 대체누가 시킨거냐? 무슨 또봇성우하는 애새끼들보다 더 빡친건 처음이네 	0
72	메리다 귀싸대기 한대 때리고싶었음 	0
73	강소라씨 더빙 장난합니까 	0
74	난 메리다 목소리도 맘에 들고 캐릭터도 귀엽고 해서 이 영화 맘에 듦. 마지막에 약간 감동 받았음. 역시 효(孝)는 부모가 살아 계실 때, 정신, 육체 건강하실 때 하라는 말이..... 	1
75	이 영화 제목이 왜 용기인가??주인공은 초반 곰으로 변한 엄마를 보고 자기 잘못이 아니라고 마녀탓을 하며 책임을 회피한다 하지만 후에비로소자신의 잘못 실수를 인정하고 잘못된걸 바로 잡으려는 용기를 보여준다. 제목...	1
76	멀쩡한 성우들 냅두고 연예인 쓰는거에 구역질이 나네자막판을 안줄거면전문 성우들만 써서 더빙하던가 ㅡㅡ홍보 효과가 아니라 연예인 더빙때매 안보는 사람들이 더 많다는걸 왜 모르냐... 	0
77	곰이 된 엄마 완전 빵 터짐 표정하나하나 세밀하게 잘 그렸음 	1
78	미국 cg 에니메이터가 꿈이다. 그런데, 내 작품에도 성우안쓰고 연예인이나 아이돌쓰면 관계자 다 죽여버릴꺼다. 	0
79	스토리 전개부터 마음에 안들었고 곰이 왜 메리다를 따라다니면서까지 죽이려고했는지 설명이 안되어있다;;이번 디즈니영화는 디즈니 애니메이션의팬인 나에게는 엄청난 실망스러운 작품이였다 	0
80	재미가 없는건 아니었는데...개인적으로 스토리가 다른 작품들에 비해 다소 짧게 느껴졌고 픽사에서 느낄수있었던 참신한(?) 느낌도 조금은 덜했던것같습니다. 	0
81	픽사 작품이라곤 믿기지 않는 단순 허접한 스토리와 공감되지 않는 주인공. 실망스럽다.. 	0
82	너무나도 답답한 주인공 메리다. 보는내내 화만 났다.개인적으로 픽사의 애니메이션을 즐겨보지만 그 중에서 가장 최악.. 말도 안되는 장면이 많았고 분통이 터진다. 	0
83	메리다 누가 더빙 한거냐 감정이 읍냐 에퉷 	0
84	이제 제발 성우가 할일은 성우가하게 하고 연기는 연기자만 합시다. 훌륭한 성우, 배우들 다 냅두고.. 성우할때 배우쓰고 배우가 할일 아이돌이하고 강소라때문에 메리다봐야지 하는사람 몇될까? 그놈에 돈이뭐길래 예술은 그...	0
85	강소라 더빙 죽여버린다.... 진심영화다망쳐놓음 듣기싫어죽는줄발연기...아.... 	0
86	솔직히 더빙성우가 문제였지 그걸로 평점까지 깎아내리지는 맙시다...ㅜ더빙 연예인이나 시킨 사람이 잘못이지 픽사가 잘못한건 아니니까... 	1
87	원본 영어판은 영국식발음이 정말좋아요.더빙판 자체를 싫어하는사람이라서. 본재목은 brave 에요 	1
88	솔직히, 역대 디즈니 주인공 중에서 제일 마음에 안 드는 주인공이었어요. 그래도 주인공이 마음에 들지 않으면 아예 보지를 않는 저인데 용케 봤네요. 내용 자체는 감동도 있고 좋은데 메리다 성격이...그리고 메리다...	1
89	그래픽 수준은 높은데......재미가 없다....픽사인데 재미가 없어...새롭지도 않고..지루해... 	0
90	주인공하고 엄마갈등하는것도 메리다가 한치의 양보도 안하는거보고 짜증 ㅡㅡ 엄마 약먹이고 뻘소리하는거보고 따귀 한대 진심 때리고싶었다 	0
91	다른분들처럼 저역시 메리다 목소리가 넘 거슬리네요~메리다 더빙을 성우분이 하셨다면 느낌이 많이 달랐을 것 같아 많이 아쉽네요.... 	0
92	국어책을 읽어도 이거보단 잘읽겠네 보다가 신경질나서 껏음 첨엔 지루한척하면서 메리다가 자기가족 소개를 하는거라 그렇게 국어책읽듯 말하는줄 알았다....근데 계속보니 걍 그게 연기하는거였음 	0
93	모성애를 자극하는 감동, 코믹스러운 표정이며 여러 연출들이 정말 재밌네요. 픽사나 드림웍스나 2D애니메이션으로는 절대로 표현하지 못하는 것들을 여럿 보여줘서 마음에 듭니다. 재밌씁니다.!!! 	1
94	더빙은 쫌 성우분들이 하길바래요메리다는 듣기거북할정도네요 	0
95	스토리도 부실하고 캐릭터들도 별로 정이 안갔다왕 성격이 원래 좀 장난많고막장이라니만 걍 멍청한OOO느낌만나고...스토리도 뜬끔없이 곰이되질않나 뭐 깨닫게된건 가족사랑(라기에도좀애매하지만) 밖에없고 결혼안하게된것도 어...	0
96	재미있고 감동적이다ㅠㅠ마지막 장면 눈물남ㅠㅠㅠ 	1
97	읭? 난 되게감명깊게 봤는데 . 잼있었음. 스토리도 괜찮았는데? 모녀의사랑.... 내가 여자라서 그런건가.... 	1
98	강소라 더빙 보고 진짜 토할뻔;;; 메리다는 반드시 꼭 자막으로 보십시오 자막으로 보니 훨 낫네 	0
99	 민폐다 어쩐다 하는데 그게 영화 내용이잖아요 초반에 자기 주장만 내세우다 용기내서 자존심 버리는거. 그게 주제인데 뭐가 그렇게 맘에 안듬?ㅋㅋㅋ 난리네 뺨때리고싶고 머리채 뜯고싶고.. 그냥 여주 예쁘지 않고 진취적...	1
100	강소라 ㅋㅋㅋㅋ더빙은 절대로 하지 마라진짜 보는 내내 답답해서 ㅋㅋㅋ진짜 목소리 듣는데 짜증남전문성우쓰세요 	0
101	중간중간 눈물찔끔한건 나뿐인가ㅜㅜ 	1
102	짜증나서더빙누군지봤더니강소라 최악의더빙 	0
103	작품은 재미있었는데 강소라씨 다시는 더빙하지마세요 당신이 도전한답시고 몰입도 방해해서 돈내고 영화본 사람은 왜 억울함을 당해야 하는건지 원. 	1
104	브레이브, 제목을 계속 상기하면서 감상하시길 바랍니다- 왜 하필 '용기' 인지.. 말괄량이 공주님의 모험 활극이 아닙니다 	1
105	픽사는 감을 왼전히 잃었다.. 개념없는 여주부터 뜬금없는 전개까지 카2와 함께 픽사 최대의 망작 	0
106	처음진입시엔 별론데 점점 몰입도가 높아져가고 볼만해 진정한 주인공은 왕비임 ㅋㅋ곰표정이 너무 귀여워 	1
107	자막판은 정말 재밌었는데 더빙이 별로였나봐요, 딸이랑 와이프랑 정말 재밌게 봤습니다 ^^ 	1
108	올레티비 공짜라서 봤는데 볼만해요근데 공주 더빙 진짜 별로네요ㅡㅡ 	1
109	아름답고 눈이큰 공주만이아니라개성있고 귀여운캐릭터의 공주역할이라좋앗어요^^ 	1
110	여러분 더빙말고 자막으로보세요 생각보다 괜찮은 영화입니다. 	1
111	엄마 진짜 감동이다...ㅜㅜ 	1
112	재미고 실감났어요 	1
113	사람들 평가 왜그러지...ㅎㅎ 난 자막으로 봐서 그런가 너무 감동적이고 좋았음 	1
114	좋은데 ?평점 다들 왜이래 ㄲㄲ 	1
115	나원...밑에분 이영화를 단지 왕비 개고생시킨 공주의 이야기로 보셧나보네요ㅉㅉ...그냥 다른 디지니/픽사 애니매이션들 아예 안보시는건 어때요?ㅎ 	1
116	!!!!!!!!짱!! 	1
