,Unnamed: 0,reviews,label
108174,109193,"강렬한 울림, 진한 여운, 완벽한 음악 ",1
38618,39030,깔끔하게 다 쏴죽이니 좋네 뭐... 무슨 정의같은거 안따져도 되고... 대한민국에 지금 정의가 있나?? ,1
131638,132850,한국애니메이션의 발전을 기원하며~ ,1
63958,64573,불면증을 없애주는 영화 ,1
77261,78081,아이들이 엄청 재미있어했습니다!다만 포스터가 없어 아이들이 실망했습니다 ,1
12464,12491,햄버거 먹고 싶다... ,1
48236,48728,"돌아갈 곳이 있는 소년과, 돌아갈 곳도 가진 것도 없는 소년. 방황하는 두 소년의 대조적인 성장담과 함께 구스 반 산트의 실험적인 색채가 입혀져 불친절하면서도 상당히 매력적인 영화. ",1
19295,19343,매일 매일 똑같은 방식으로 전개의 영화에 돌을 던진 영화. ,1
94873,95758,이영화보고 공포영화에 반해서 ㅋㅋ공포영화매니아됨... ,1
47452,47930,참 고급진 변태라는 생각이 든다 박찬욱 ,1
99249,100166,20년 전 그 충격이 잊혀지지 않는다. ,1
6683,6693,히로코는 이제 이츠키와의 시간을 잊을 준비하고 이츠키는 잃어버린 시간을 되찾았고 ,1
130420,131632,뭔 2002년월드컵도 아니고 들어와서 강간하고 개 ㅈㄹ같은 작전이나까고 우리는 이런민족이다 앞으로도 얼마든지또 더 강하게 일어난다 대한민국 화이팅이다 이민은 가고싶지만 ,1
114011,115071,잘 쌓여진 여성서사로 마지막에 울음이 참아지지 않던.. ,1
20851,20899,"어기의 다름을 인정해주는 친구들과 어기를 너무나도 사랑해주는 가족들, 그리고 변해가는 주위 시선들이 감동을 준다. 누나 비아의 곁스토리도 따뜻하다. ",1
34201,34496,"대한항공 탔다 봤네요. 영화 대처와 함께, 사회의 발전을, 여권의 발전을, 그리고 위대한 여성지도자의 꿈을 생각해 볼 수 있는 영화입니다. 감장적인 페미니즘과는 다르지요. 제목 번역이 적절해 보이지는 않네요. ",1
12681,12821,아이들과 재미있게 봤어요. 자막버전이였으면 좋겠어요~ 더빙도 좋았어요^__ ^ 골고루 상영했으면 좋겠는데 상상력은 역시 뛰어나요영화부 피큐어 도 좋았어요 ,1
2811,2894,이 영화는 새로운 장르를 만들었다고 해도 과언이 아니다! ,1
25898,25964,"명작이다. 마이클 패스벤더랑 알리시아 비칸데르 연기 좋고, 배경 영상도 넘나 아름답고..인간의 욕심과 선택,용서,사랑에 대해 결코 가볍지않은 진중함이 잘 표현됐다. 그어느누구라도 쉽지않은 선택이었을듯.. ",1
136224,137502,전진을 위해선 과거를 정리해야 한다. ,1
70536,71230,영화 생각이상으로 친절한데 이해가 안된다니... 그게 이해가 안가네. 이런 장르의 영화가 더 나왔으면. ,1
4727,4818,남자 주인공 빼고 다 마음에 든다. ,1
25735,25979,"일레인과 도망쳐, 버스에 앉아 가지만 서로 아무 말도 없다. 웃음기도 잠시뿐,무얼 ",1
72476,73194,람보가 다시 보고 싶어졌다. ,1
15006,15162,20여년이 지난 오늘 다시 봐도 작중 메시지의 진정성이 전해지는 좋은 영화... ,1
40264,40692,극한직업보다 평점 낮은거 진짜 이해가 1도 안된다.. ,1
13197,13225,창문닦을때 너무 귀여웠음ㅠㅠㅠ 토실토실궁딩이 ,1
124322,125459,에단호크 연기가 생생함진짜 마약에 쩔은 예술가 였음다소 지루한감이 있지만 극이 끝난뒤 머릿속에 맴도는 연주ost ,1
88040,88912,웃기는 코미디 영화라고 알고 갔는데 진짜 기대 이상이네요~ ㅋㅋ 실컷 웃고 나왔습니다~ 박성웅 요런 반전 캐릭터 좋아요~~♡♡ ,1
4311,4320,꾸르잼~개봉하자마자 보고왔어요ㅋㅋ애들이..요요사달라고하네요-.-ㅎㅎ ,1
10445,10471,여자도 야한 걸 좋아한다. 단 사랑과 로맨스 속에 녹아든 야한 것. 나도 그렇게 야한 것을 좋아한다. 하지만 포르노는 싫다. 더럽고 지저분하다. 그레이 시리즈처럼 스토리와 로맨스가 있는 야한 영화가 진짜 야하게 느껴...,1
13130,13168,남들은 제인과 소현이 눈이 밟힌다는데 나는 지수랑 대포가 제일 어른거린다 그냥 '너 옛날에 야구 했었어?' 이 말이 제일 슬펐음그냥 하루종일 멍했다 그 아이들도 꿈이 있었을엔데 희망이 있었을텐데 ,1
13246,13274,역쉬~ 명탐정 코난♡ 아이들 방학이라 함께 잼나게 봤어요~ ,1
51632,52153,문득. 시간이 지날수록 잔상이 뚜렷하게 떠오른다. 잊을수없는 충격. 알려지지않은 인생.과연 서평의 삶이 내게도 가능할까. 무엇이 그녀의 삶을 이토록 고귀하게 이끌었나. 많은 것을 생각하게하고 도전하게 한다. 너무...,1
