	labels	reviews
0	1	       가뇽이라서 경기 꼭 이겨야합니다 일요일는 에이스 브룩스 나와요... 신민혁 5이닝 3실점이라도 성공인데... 
1	1	       기아전 대비합시다 가뇽, 브룩스 외국인선발 전부 다나오네요  민혁아 나지완 최형우 터커 조심해라 
2	1	      오늘 엔씨의 경기에서 이동욱과 손민은 한게 없다  1회 초 루친스키가 세 타자를 범타 처리하고 맞이한 1회 말  1번 박민우가 우익수 뒤 2루타로 주자 2루(노아웃) 그 뒤  2번 이명기가 자의인지 타인인지(필자는 그 순간을 라디오만  들어 확실하게는 모름) 모르지만 번트를 시도하다가  성공하지 못하고 2루 땅볼 아웃으로   1 아웃에 주자 3루가 되었으나 나성범이 7구까지 물고  늘어져 볼넷으로 주자 1,2루에서 양의지와 박석민의  졸타(拙打)로 찬스를 무산시키고 말았는데    만일에 2루에 있는 박민우를 3루로 보내기 위해서  이동욱이 이명기에게 번트를 지시했다면 야구의 ABC도  모르는 감독이 아닌가 싶은 생각이 든다.   제기랄 번트는 그런 때 하는 것이 아니고 지난번에  롯데와 마지막 날 경기의 9회 말에 1 아웃 주자 만루시에  번트를 하여야 하는데 그런 때에는 택도 아닌 강공하다가  경기를 말아먹었는데 번트를 해야 할 때와 하지 않아야  할 때를 구분하지 못하는 것 같아 보인다.   7회초 1번 조용호의 타석 때(루친스키를 배민서 투수로 교체함)  주자 1,3루에서 바뀐 투수 배민서가 조용호에게 그냥 볼 네 개를  연속으로 던져 2 아웃 이후에 주자가 만루가 되었고   2번 강민국이 배민서의 공을 그대로 두었으면 볼넷으로  1루로 걸어 나가는 건데 서둘다 유격수 뜬 공으로 찬스를  무산시키고 말았는데 왜 그런 순간에 그런 투수를 냈는지 궁금하였다.  만일에 배민서가 거기서 실점(안타 하나면 최소한 2 실점)을  하였으면 루친스키의 방어율도 높아지는데 왜 그런 제구가  안 되는 선수를 기용하는지 궁금하였고 시즌 내내 영점을  잡지 못하는 배재환을 기용하는 것도 불가사의 하였다.   오늘 KT 선수들이 워낙 타격이 부진해서 그렇지 안그럼  두 배(민서,재환) 투수로 인하여 곤란을 겪을 뻔하였다.  두배선수에겐 정말로 미안하고 야속한 것 같지만 이번즌이 끝나기 전에는 기용하지 말고 시즌 끝나고 동계훈련 시 힘들게  돌려야 할 듯!   배재환은 이번시즌에 세월이 가도 전혀 나아지는 기색이  보이지 않는다.  미안하고 미안한 소리지만 앞으론 배재환, 배민서, 김형준, 김건태,  김형준, 도태훈 등은 엔씨가 20:0으로 지고 있을 적에 출전시켜야  할 것 같아 보이고 아직 1군 무대에서 놀기는 아니다 싶다   오늘 키움과 엘지와의 경기는 어제 패한 키움이 오늘은 엘지 한데  승리를 하였는데 한 팀이 계속 이기는 것 보다야 두팀이 번갈아  가면서 승리를 하는 것이 엔씨로 봐선 유리하다 싶다.    내일은 기아의 가뇽과 엔씨의 신민혁의 대결인데 글 세다 싶다  근데 구창모는 시즌 접은 거여 뭐여!  언제 등판하는 건지 궁금하다 
3	1	       소이현이 훨씬 잘한다 신인선수들 위해 2군 가라!!! 
4	1	       지금까지 경기를 본 결과 낼부터 2군 내려갈 선수들이 몇명 있는데  1. 배재환 이유: 투수라는 놈이 이닝을 종료시키는 것보다 이닝을 질질 끌게 만드는 신기한 능력이 있음. 솔직히 배재환이 나와서 깔끔하게 삼자범퇴로 끝낸 경우가 별로 기억에 나지도 않고, 얘는 주특기가 볼넷 주는거임. 오늘 경기도 보면 23개의 공을 던졌고 그 중 아웃카운트는 1개, 볼넷은 3개, 이 정도면 진짜 심각하다고 생각한다. 얘 땜에 뒤에 나오는 투수들은 겁나 힘들게 이닝 종료시켜야 하고. 이재하도 2군 내렸는데 얘도 좀 내려서 당분간 좀 안봤으면 좋겠다.   2. 김형준 이유: 타격이 너무 안좋음. 최근에 나온 경기에서 임팩트 있는 모습을 본 적도 없으며, 수비에서도 포구를 놓치는 모습이 종종 나옴. 그냥 2군 보내고 포수는 양의지 김태군 2인 순환으로 하고 차자리 그 자리에서 2군에서 잘 던지는 투수 하나를 데려오는게 팀에 도움이 될 것 같음.   3. 김성욱 이유: 타격이 너~무 안좋음. 2군가서 좀 폼을 올릴 필요가 있을 것 같음. 이원재는 그나마 최근 경기들 중 나름 좋은 역할을 많이 해줬는데 김성욱 선수는 지금 자신감이 없는 모습이 자주 보이는 것 같음. 근데 뭐 수비 하나는 잘하는 거 인정하기 때문에 솔직히 2군가서 타격 폼을 올리고 다시 올라오는게 나을듯 싶음. 근데 지금 세명 중 김성욱 선수가 유일하게 좀 애매한 상황임.   솔직히 여기서 김성욱은 좀 애매하지만 나머지 1,2순위인 배재환과 김형준은 제발 좀 2군에 내려라 이동욱 감독아!! 진짜 이동욱은 저놈의 고집을 꺾지 않으면 조만간 NC는 1위에서 3위로 순식간에 떨어지는 모습을 보이고 말 것이다 
5	1	       ㅋ 왜욕먹고있는지 본인만 모르는듯ㅋ 
6	1	       무슨 문제있나요? 아니 집안문제가 있거나 여친가 사이가 안좋던지 말입니다  우리팀선수라 못해도 응원하고 싶은데 누워서 보던 경기 벌떡 일어서게 만드네요 손코치님은 이런거 관리 안하시나요?  
7	1	       민한아   개 자식아  스트라이크 하나  못던지는  놈을  투수라고  출전 시켰나 .  민한이  넌 도저히  용서가  안된다.  빨리  보따리 싸서 애기보러 가라 
8	1	       이제는 입이 다 아프다. 수백번은 얘기 했을 것이다. 손민한은 자신의 무능을 배재환을 통해 덮으려 하는 것이냐. 둘 다 NC를 위해서, 제발 떠나 다오! 
9	1	       진심 배재환 저 놈 뭐냐? 8회나와서 아웃카운트 하나잡고 주자3명 내보냇다 저 대가리 좀 우찌해봐라 생긴것도 생기다만 두꺼비같은 놈이 대가리만 길러서 너한테 졸라 안어울린다 제발 좀 1군에서 자진해서 꺼져주라 니 볼때마다 팬들 홧병나서 죽겟다 제발 쫌 쫌 쫌 나가라 
10	1	       아니   배재환 그만 쓰라고  언제까지 배재환 쓸꺼냐   니 눈에는 저 쓰레기 공이 안 좋은거 안보이냐? 임창민처럼 2군이라도 좀 보내다 오던지 XX 진짜 드럽게 고집이 쎄  
11	1	       불펜에서 뭘보고 배재환을 올렸을까 배재환 던지는걸 보면서 감독 투코는 무슨 생각이 들었을까 
12	1	       배재환, 원종현 승부조작인가 감독&투코 야동을 갖고있는건가 
13	1	       7회초 2아웃 주자2명인데.... 배재환이  올라온다 ㅈ됐다 완전 긴장해야한다 
