	labels	titles
0	1	내일 신민혁이라서 화끈하게 총 불펜진 투입합시다
1	1	그래도 무서운 kt 마지막전 이겨서 다행입니다 
2	1	오늘 엔씨의 경기에서 이동욱과 손민은 한게 없다
3	1	배재환 자진해서 2군쳐내려가라
4	1	9월 12일부터 내려가야 할 선수
5	1	ㅋㅋ 이겨도 오늘도욕쳐먹는 손민한ㅋ
6	1	배재환선수 
7	1	  스트라이크도  하나 못던지는 배재환 선수  투수가  맞나
8	1	손민한은 배재환 데리고 NC를 떠나 동네야구나 하시오.
9	1	머냐
10	1	진짜 쓰레기들을 너무 사랑한다
11	1	배재환
12	1	배재환, 원종현 승부조작인가 감독&투코 야동을 갖고있는건가
13	1	배재환이다
14	1	소이현 공 좋다... 
15	1	알테어 중요한순간때 잘 쳤다 
16	1	1승 하기가 정말로 힘드네요? 
17	1	  NC 팀을  위해  한마디 조언을......
18	1	무능한돌감독아 임정호는 우타에 약하다
19	1	오늘부로 정확히 44게임 남았네요
20	1	되풀이 되는퐁당퐁당 타격에 어처구니 없는 경기력
21	1	임정호 저놈은 진짜 모르겠다 
22	1	마무리 교체도 해보면 좋으려나요...
23	1	마무리 문경찬으로 교체하라.
24	1	8-8-8
25	1	오늘부로 야구팬 접습니다.
26	1	이동욱, 손민한은 이길려고 하냐. 지려고 경기 하는가?
27	1	무능한 손민한, 물러나라! 왜 임정호를 당겨서 등판시킨거냐?
28	1	역전하면 뭐해 원종현이 나와서 망치겠지~~
29	1	
30	1	지가 잘못하는건...
31	1	구단관계자들은 슬슬 
32	1	프런트는 호구이고 감독이랑 코치는 날뛰는데
33	1	어제 9회 지석훈 타석에서 강진성 대타 안내고
34	1	이따구로 계속하면
35	1	어제도 못이기는데 
36	1	와 방어율 6점대 김민수를 못터네?? 대단하다
37	1	어제는 시즌 초반 처럼 9회에 강진성 대타 안 내더니
38	1	동욱아 정말 대~단하구나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
39	1	20명에게 보내는 고심 속 한 줄 충언
40	0	이동욱감독님 네이버댓글폐지해서 참 좋겠소 
41	0	김택진구단주는 야구단 투자하면 뭐하냐
42	0	내년에 이동욱감독 계속 가면 야구 끊어야겠다
43	0	실망스러운 대타기용
44	0	지금이라도 내년감독 외국인감독이나 이강철 김기태 아무나 모셔와라
45	0	내일 이길생각하지맙시다 노경은도 못털었는데 
46	0	NC빠따들은 선구안좀 어떻게좀해봐라!!
47	0	이동욱, 손민한은 2군 가라.
48	0	아쉬움이 남는 9회
49	0	이동욱, 손민한, 진종길 화이팅..
50	0	망할놈들아 스팸코드 똑바로 만들어라
51	0	꼭 지자.....
52	0	ㅠㅠ
53	0	무능한돌감독이랑 손민한 짐싸고 빨리 롯데로 쳐가라!!
54	0	이동욱이 야구팀 감독인게 그나마 참 다행입니다
55	0	옛정이라는게 무섭네
56	0	걍 1위에 목매지 마세요 편하게 2~3위 생각하는게 나아요
57	0	데이터 야구 좋아하네...
58	0	감독님.....
59	0	9회 지석훈 타석때 왜 강진성 대타 안 냈냐?
60	0	안녕하세요 부산사는 엔씨팬입니다. 
61	0	망할놈들아 스팸코드 똑바로 만들어라
62	0	Re: 망할놈들아 스팸코드 똑바로 만들어라
63	0	9회말 끝내지 못한순간
64	0	끝내기상황에 타격감좋은 강진성이나 퍼올릴수있는 모창민빼고 지석훈
65	0	평소에 손민한코치가 지분에 많아서 그렇지
66	0	장담하는데 올해 순위가 몇위든간에 이동욱은 무조건 짤라야함
67	0	이동욱 감독 자격도 없는거때문에 또 겜 말아먹네
68	0	잡아야될경기를 또 놓치네
69	0	프런트도 똑같은 돌대가리지
70	0	
71	0	글 올라오는거 지울거면 게시판을 만들지 말든가.
72	0	감독이 지고싶다는데 지는게 맞는거지
73	0	Nc가 1위하는건 이동욱 덕분이 아닙니다
74	0	지석훈 은퇴 안하나요? 아무 쓸모 없는데?
75	0	이래서 돌동욱으로는 우승 못한다니까?
76	0	오늘 경기 잘 말아먹으셨네요~
77	0	지들 입맛에 안드는 내용은 바로 지워버리네요
78	0	오늘지면 무조건 감독책임
79	0	욕이 없어도 쓴소리면 그냥 삭제하네요..
80	0	하긴 선수때도 생각이없어서 백업 전전했는데  
81	0	어차피 여기 관리자 외주업체사람인지라
82	0	원종현 욕할 이유없다. 감독과 투수코치가 NC를 망치는 것.
83	0	내년에는 제발 보지 맙시다.
84	0	관리자님 지금 바로 지우시는거 보니까 상주해계신거 같은데
85	0	
86	0	Re: 
87	0	감독 나가라
88	0	오늘 경기에 대해
89	0	9회만 되면 무슨 생각을 하는건지 모르겠습니다..
90	0	관둬라
91	0	뭐합니까?
92	0	다 이긴 경기를 이렇게 지네.. ㅋㅋㅋ
93	0	선두타자 볼넷이 웬말이냐....
94	0	그냥 좀 제발좀 지극히 정상적으로만 생각을 해달라고요...
95	0	원종현 연봉반납해라
96	0	우승을 위해 이동욱, 손민한 동반 퇴진을 요구합니다.
97	0	그냥 진작에 대타좀 잘써서 이길 확률을 높이던가 하지 아오;;
98	0	손민한이는  진짜  내  쫓아 
99	0	감독 토토하세요?
100	0	이동욱, 손민한, 진종길 화이팅..
101	0	어떻게 이런팀이 지금 1위를 하고있는건가요?
102	0	9회말 1사 1ㅡ3루 스키즈 쌈 싸뭇나
103	0	바보 지석훈 이원재
104	0	ㅋㅋㅋㅋㅋㅋ 1사13루에서 지석훈???  무안타 이원재???
105	0	마무리 깝깝하다
106	0	원종현 승부조작?
107	0	대타를 왜 안쓰죠??
108	0	대타를..어이구 진짜 돌것네
109	0	머리좀 깍자 꼴보기싫다
110	0	풀카운트에 낮은 변화구면 끝!!!
111	0	nc 타자들  선구안좀 길러라
112	0	어제일이 그렇게 미안하드냐?
113	0	욕을 버는 야구..작전은?
114	0	이동욱과 손민한은 어느팀 감독이고 선수고?
115	0	외국인 투수의 자질
116	0	라이트때문에 우승 물건너가겠다
117	0	라이트 방출 시켜라
118	0	1회초부터 최악이다!!!
119	0	저놈는 지가 하루 등판 늦추자했으면서 볼질 쳐하냐??
120	0	와 오늘 주심 롯데팬이네 
121	1	오늘은 오랜만에 마음 편안하게 경기를 시청한 날입니다 
122	0	안녕하세요 부산사는 엔씨팬입니다. 
123	0	결국 야구는...
124	0	그냥 다때려치우고 내일 술먹고 푹 쉬고
125	0	김택진 구단주님 이동욱과 손민한을 어떻게 하여 보소서! 
126	0	구창모 하나 때문에 선발진붕괴... 
127	0	엘지는 김현수빠져도 오늘도 경기 이겼네 와 부럽다
128	0	NC 단체로 승부조작하고 있는거 아님??
129	0	칭찬하고 응원만해야 진정한 팬인가요
130	0	감독님 정말 궁금하네요
131	0	다음주에도 비소식많은데
132	0	이팀는 도대체 우취날에 뭐하는지 궁금하다!!!!!
133	0	부끄럽다 ..
134	0	생각하는 경기를 하라
135	0	NC 5위도 위험하다
136	0	이제 하늘에 감사하면되나요?ㅋㅋㅋㅋㅋㅋ
137	0	감독 코치 무능
138	0	2차전 할지안할지도 모르는데 1차전을 그냥 날려먹네
139	0	2차전 우취 되는게 NC에겐 다행 같은데
140	0	1위는 이제 내려놓아야.....
141	0	구단차원에서 케이티에 감사인사라도 해야겠다
142	0	NC 공룡군단들!!2차전 화이팅!!
143	0	역시......
144	0	애초에 이팀은 개선이라고는 담쌓고 지내는게 문제입니다.
145	0	그냥 이팀은 개선이라는건 담쌓고 지내는게 특징입니다.
146	0	1차전에 전력내서 무조건 잡아도 모자를판에
147	0	걸러서 듣고 읽어라..한화급 야구
148	0	참 오늘이 이번 시즌 팀 첫 0봉패다
149	0	감독님이랑 투수코치님도 그냥 들어가서 롯데랑 케이티 응원하는게
150	0	다른팀에 의지해서 언제까지 1등할지는 모르겠는데요
151	0	뭐 엘지는 신바람 야구니 뭐니 하던데 우리는 기생충 야구인가요?
152	0	구단은 우리팀 지금 응원안하죠
153	0	키움 LG가 지기를 바랄뿐
154	0	경기 질 때마다 그만 좀 비난합시다 진짜!
155	0	DTD
156	0	선수가 안터지니깐 1위도 못하겠죠 ?ㅋㅋㅋ 
157	0	선수들이 후라이는 그럭저럭 굽네요
158	0	이제 내려가요
159	0	숫자를 못 세는데 야구를 하는 팀이 있다?
160	0	거품 다 빠졌죠??
161	0	달감독때 꼴등한거 생각하며 참고 참읍시다...
162	0	점수 줄거 다 주고 교체하는 감독님의 신묘한 전술
163	0	햐..
164	0	시원시원하게 죽죽 쳐맞네요
165	0	1위팀은.....
166	0	이제 응원해주세요~~
167	0	에러뒤엔 참혹한 결과가 나타났다
168	0	이기면 팬게시판 조용하고 지면 난리 떠네
169	0	김형준 아무리 싸인미스라도
170	0	다 이겼던 경기를 이동욱 감독이 말아 먹었다
171	0	김형준포수
172	0	포수 하나 때문에 경기운영 개판이네 
173	0	이제 희망의 불씨가 사그러들어 가네요
174	0	루친스키 미안하다 내일 경기 혼자하세요 
175	0	용덕환코치!
176	0	악바리가 없는 엔씨
177	0	노진혁 대형사고 치는구나
178	0	김형준는 작년에 잘했다고 올해는 대충하냐???
179	0	오늘 경기 꿈이죠? 그럼 꿈일거야~
180	0	포수육성할거면 확실하게 경기질거 각오하고 빨리 기용허십쇼
181	0	우승 도전 평생 못하는거 아니냐?? 
182	0	김형준 내리고 정범모 올리자
183	0	이번달에는 3위에서4위까지 떨어지는게 목표입니까??
184	0	냉정하게 1위 포기합시다.
185	0	내일 김형준 2군 말소 기대한다 
186	0	어떻하냐 이제..
187	0	이동욱감독님 정신차리세요
188	0	좀 이겨봅시다.
189	0	내일 루친스키 나와도 경기 질꺼같다 
190	0	9회초 3타자 연속 삼진 ㅋㅋㅋ
191	0	선수욕할생각없다
192	0	정범모 사고쳤냐?? 1군에 왜 안올라오냐??
193	0	제발 김형준좀 2군에 내리고 정범모좀 올려주세요
194	0	몇 주만에 2경기 벌린거 2틀사이로 다 까먹네
195	0	아주 큰 일 해냈습니다.
196	0	타이트한 경기 이기고 싶다면 김형준 선수는 빼세요...
197	0	김형준 쓸바에 정범모 기용한다 
198	0	에휴 슬프다
199	0	낫 아웃 실책과 뜬공 실책
200	0	감독이 그냥 모든것의 문제네요.
201	0	엔씨답다
202	0	김형준 2군쳐보내고 정범모 기용해라
203	0	이런경기하는팀은
204	0	진짜 경험치막타놀이하다가 본전도 못찾네
205	0	김형준 모창민는 2군 쳐보내자 
206	0	팀 역사가 길어지니 이런경기도 나오는군요
207	0	8회말 포수 양의지 아니였음?? 와 명잘놀이 가지가지한다
208	0	드라마틱했다. NC 창단이후 역대급 실책이다.
209	0	아직도 명장놀이하네.
210	0	노진혁 하...
211	0	이동욱, 8회말 상황 해명해 보시오! 공개적으로!
212	0	어이구 노진혁아
213	0	박민우 선수는 마운드에서 뭐가 그리 기분이 좋은가요?
214	0	오늘 경기가 꼬이기 시작한건 1회초 공격에서
215	0	배재환은....
216	0	아 어떡하냐
217	0	내일 모창민 선발라인업 넣어라!!!
218	0	내일 포수 김태군 ㄱㄱ
219	0	불펜진 볼질좀 자제하자
220	0	打線을 정해주마
221	0	아 다시 0.5 경기차 가겠다 
222	0	그냥 외야 최정원 쳐넣어라!!
223	0	내일 엘지선발 윌슨나오네 아 미쳤다
224	0	와 심각하다 오늘 이겼어야했는데 지냐??
225	0	생각 좀 해라.아님 사인을 주던지!
226	0	 이동욱은 왜 9회초 대타를 모창민을 냈을까요?
227	0	최정원을 잘 활용하세요.
228	0	대타를 좀 안타 치는 얘들 대타로 내야지
229	0	팀 선수에게 향한 비난에 대해 대응해주시기 바랍니다
230	0	나성범선수 부상복귀후 응원하고있지만 .. 
231	0	제발 배재환좀 2군좀 내려 주시고 감독 투수코치 좀 사퇴합시다
232	0	nc가 절대잘해서 1위하고있는게아니다 ..
233	0	엔씨 진짜 실망이다 ..어떻게 1위하고있냐..?
234	0	나성범은 집만 나서면(창원만 나서면) 완전히 젬병이네
235	1	우린 강하다
236	1	라이트 키움상대로 6이닝 2실점 잘했습니다 ㅎㅎ
237	1	이원재 요즘 잘하네 오~
238	1	주말2연전 수고하셨습니다.
239	1	우리깡이
240	1	오늘 주심 스트존보니 완전 개판이네  
241	1	엔씨 야구 91차전 경기 결과 9:5로 승리(8/29) 대 엔스
242	1	이호중
243	1	모창민 긴장해야겠네 이원재 3안타쳤다..
244	1	아니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
245	1	진짜로 모창민 선발 아니면 이기는거 같네요 ㅋㅋㅋ
246	1	이호중는 패전조 써야겠다... 
247	1	도루 그만해라!!!!!! 
248	1	알테어야 좀 잘해라
249	1	이제 모창민 자리없다 오직 최정원이다!!!!
250	1	아 김성욱 도루 안했으면 점수냈다....
251	0	키움, 두산,  엘지 상위팀 전부 다 이겼네.....
252	0	선발투수
253	0	지명타자 최정원 넣어봐라!!!
254	0	1.2위 지키는법
255	0	아 이명기선수 소중함 느꼈다
256	0	오늘 포수 누구였냐?? 피홈런 4방 쳐맞았네??
257	0	답답하다 NC는 왜 유희관 공략못하냐?????
258	0	NC의 결정을 존중하고 박수를 보냅니다.
259	0	Re: 그만들좀 해라. 니들 원하는대로 지명철회도 해줬구만...
260	1	그래요 몰랐을 수 있겠죠.....
261	1	송명기 선발승리 축하한다 ㅎㅎ 이재학보다 엄청 잘하네
262	1	nc 다이노스 최고입니다 .
263	1	NC구단 관계자분 (p.s스카우트 당신 사과해라)
264	1	지명철회는  잘했어
265	1	네이버 댓글폐지하니 관종이 나타나네!!!
266	1	엔씨야구 89차전 경기 결과 8:2승리(8/27) 대 두산전
267	1	nc에게 미래가 있는지 의문이 듭니다
268	1	자기 자리 지키려고 피해자 가슴에 대못박는 스카우터...
269	1	학폭 과거는 알고 있었을거고 이슈 되지 않았으면 그대로 영입?
270	1	놀라운 결단입니다.
271	1	관종이 하나 나타났군요
272	1	조금 늦었지만 잘했습니다.
273	1	수고하셨습니다 
274	1	김유성 영구제명. 이러다 1~2년후 육성선수 영입하겠지?
275	1	지명 철회 잘 하셨습니다.
276	1	엔씨 머찌다
277	1	엘팬) 잘했다~
278	1	지명 철회는  잘 하신 겁니다....
279	1	NC다이노스의 팬이 된것에 자부심을 느끼게 해주어 감사드립니다.
280	1	올바른 결정을 한 NC다이노스를 응원합니다.
281	1	글 지우지 마시지....
282	1	이번 지명철회 나이스
283	1	NC가 이런 선례를 남겨줘서 고맙네요
284	1	김유성을 보고 야구 꿈나무들이 반드시 알아야 한다.
285	1	나스타 26호
286	1	김준완
287	1	김유성 영입시 NC불매 우려
288	1	김유성 엽입 포기 하세요
289	1	NC야 좋겠다 내일부터 네이버 댓글 폐지하네??
290	1	진심어린 사과를 돕겠다구요??? 뭔소리여 이게???
291	1	아직 우리팀도 아닌 선수 한명 때문에 팀 전체 이미지에 똥물
292	1	제발 지명철회 부탁합니다.
293	1	프로선수는 아무나 하는거 아니다.
294	1	안고 죽으려다 진짜 죽지 말고
295	1	그 학교 학부모 글 다시 복붙 합니다.
296	1	김유성 지명 철회해주세요.
297	1	제발 지명좀 철회해주세요 NC팬인게 너무 창피해요
298	1	김유성 지명 취소해야합니다
299	1	김유성 지명 철회하세요.
300	1	김유성 아웃
301	1	김택진구단주님 NC 기업윤리 수준은 이거밖에 안됩니까? 
302	1	엘팬) 지명철회가 답이다~
303	1	라이트선수 제발 화좀 가라앉혀라
304	1	배재환는 진짜 ㅋㅋ 주자없을때도 홈런 맞네 
305	1	또 홈런 쳐 맞았다
306	1	또 창민이를
307	1	확폭범 지명철회 하십쇼
308	1	지명철회로 KBO모범팀으로그듭나기를..
309	1	김유성선수 지명철회만이 nc구단이 살길입니다
310	1	스포츠는 건강한 몸과 정신을 위해 하는 겁니다
311	1	라이트도 감독,코치 작품이다
312	1	학교 폭력은 당한 사람만 안다
313	1	일어혼전천 : 한 마리 물고기가 온 시냇물을 흐려 놓음
314	1	김유성이라는 선수가 누군지 잘 모르지만... 
315	1	김유성 지명철회
316	1	사과를 먼저하는이유?
317	1	남의 입장 생각하기
