	label	titles
0	0	내년선수들연봉
1	0	2020년에는. 좀
2	0	지금쯤 신임 감독 소식이 나와야할 때
3	0	김시진,이만수 감독으로 추천합니다
4	0	차기 단장, 감독의 인선방향
5	0	올시즌 고생많았습니다.
6	0	감독님, 수고 많으셨어요.
7	0	마해영을 감독으로..
8	0	시즌이 끝났음 에도
9	0	한수씨 이제 우짤래?
10	0	김한수 감독 보아라...
11	0	구자욱 박해민 강민호
12	0	김한수는 감독 깜 이 아니다
13	0	김한수감독..
14	0	마지막에 남은 한 줌의 애정도 짓밟~아버리는 김한숨 야구
15	0	러프도 윌리엄슨도 내년엔 재계약포기하자
16	0	김한수
17	0	빵점
18	0	내년에.....
19	0	삼성팬으로
20	0	((경축)) 이제 드디어 삼성이 김한수 에게서 벗어 낫습니다
21	0	마지막 경기라고 아주 성의없게 하는구만
22	0	김한수 미스터리 ‥정신이상?
23	0	좌익수 듣보잡 누구임??!
24	0	마지막경기
25	0	내년에는 연봉 반으로 짜르고 하기 싫은놈은 은퇴 시켜라.
26	0	5대0
27	0	김도환 잘가
28	0	게임을 하는것인지 놀러 나온 것들인지.
29	0	차기감독 후보에 대한 평가를
30	0	팀 해체해라.
31	0	Tv에서. 경기. 실종
32	0	왠만하면 욕안할라는데
33	0	양준혁
34	0	기념볼
35	0	삼성 - 강팀(두산, 큠, 슼) 승수자판기.
36	0	정인욱은 체인지업 구사할 줄 알아야 한다
37	0	김한수, 작년 스캠때 김종훈과 트러블 후 강봉규로 교체했을 때
38	0	이게 야구냐
39	0	레일리 데려와라~~
40	0	30이닝 무실점에 3게임 연속 완봉패‥
41	0	도대체가 이해가 안되는점 최지광을 왜 2군 안보내는지
42	0	삼성 8위확정 ‥
43	0	진심으로 말한다
44	0	최충연은 2군 보내면서 최지광 이놈은 왜 안보냐
45	0	김성훈은 도데체 프로야구 선수 맞나요?
46	0	Sk는 한턱내라
47	0	3게임 연속 영봉패
48	0	개좉성 라이온즈 아직도 야구하냐?
49	0	조동찬 내년에
50	0	진짜 주전 선수도 없고 대타 선수도 없다 백업선수 없다
51	0	이성규는 1루 , 외야 안되나요?
52	0	주심 징계해라
53	0	최지광 2군안가나???
54	0	스크가 못하는건지 인욱이가 잘던지는건지
55	0	오늘도 무득점이라고 본다
56	0	23이닝 무득점이네
57	0	전준우 영입 어떻게들 생각하셔요?
58	0	역시 지난번 등판때부터 정인욱 좀 괜찮아보였음
59	0	김도환 삭제
60	0	원석아
61	0	삼성야구 가장 큰 단점들
62	0	믿을 선발이 없는 삼성야구
63	0	윤성환선수, 비난하지 마세요.
64	0	두산. sk전은 두산.sk 2군 선수들이랑 해도 질듯
65	0	축구나보러갑시다
66	0	대구 두산베어스파크
67	0	내년감독
68	0	앞으로 두산 놈들 잡을때 좌투만 로테이션으로 돌려라
69	0	1군에 있으면 짐만 되는 인간들 손주인. 권오준 윤성환
70	0	역시 두산이나 sk랑 할때는 무조건 진다는 생각갖고 안봐야 함
71	0	다음부터 전패해서 두산 ㄱㅅㅋ들 우승못하개 해줘라
72	0	빵점
73	0	지고있어 신난관중들
74	0	이런경기력이면 남은 3게임도 전패 ‥
75	0	무슨짓
76	0	야구장이 접대용이네
77	0	잡성라이온즈
78	0	8위 향해 화이팅
79	0	너희가 프로냐
80	0	시민야구장
81	0	야구 안보길 진짜 잘했네
82	0	내년에 진짜 두산한테 라팍 줘라
83	0	올해 첨으로 라팍갓는데 내년 감독 바껴도 성적 하위권이다
84	0	40인 보호선수외 드래프트
85	0	아 진짜
86	0	윤성환미소
87	0	윤성환 너때문에 로그인했다 제발 야구그만하면안대니?
88	0	아직 손주인이 선발 라인업에 기용하는 클라스
89	0	기량차이가 너무난다
90	0	윤성환
91	0	기만수 ㄱㅐ랙ㄲㅣ야 이게 프로야구팀이가?
92	0	진심 재미없다그냥
93	0	김광현공도 유희관공도
94	0	라팍은 역시 제 2의 두산 홈구장
95	0	윤성환ㅋㅋㅋㅋㅋㅋ
96	0	리틀야구 초딩야구 무툴플레이어 1할따리 캐성훈과 손주인
97	0	1 2군 육성군 할 것없이 타격코치는 이 팀에서 지금 다 경질해야됩니다
98	0	딱 1실점 했는데도 져야하나 ...... 어이가 없네 ㅋㅋㅋ
99	0	대구에서 만수행님 보기힘드네
100	0	타선을 왜 바꿔서 이g랄이냐 감독 ㅂㅅ아
101	0	얼마나 타선이 ㅂㅅ이면 별 g랄해도 슼에겐 안되는구나
102	0	양 아들 나오니
103	0	김도환 투수리드가 나쁘지 않은거 같은데..
104	0	내년도. 황인가
105	0	2020 신인 스카우트 리포팅이 없네요 ‥
106	0	이성규는 3루보다 유격수 수비가 더 안정되어 보이는데요‥
107	0	최지광 정신 못차리네
108	0	참 한화나 삼성이나 하나같이 투수가 ㅂㅅ들이라 하위권이네
109	0	임현수가 프로냐?
110	0	김민수는 포구자체가 글러먹었네
111	0	이게 다 김똥엽 그 시키 때문이다.
112	0	한수 감독은 도데체 왜 사퇴를 안하는거야.
113	0	좀 이겨달라고 사정사정 해야만 합니까 ??
114	0	감독이 무능하니 선수들도
115	0	분노조절장애 왔어 나 .... ㅋㅋㅋㅋㅋ
116	0	한숨아 이제는 한화한테도 쳐발리는 거야???
117	0	에레이 개김독 오치새이야
118	0	도데체가 이해가 안되네.
119	0	임현준
120	0	김한수 오래 해먹는다
121	0	잡성들
122	0	고수님들
123	0	내년에는 진짜 꼴찌후보 0순위다.
124	0	제일 ㅂㅅ 같은투수
