	title	review	label	rating
0	우천으로 엉망된 경기	우천으로 늦게 시작하고, 중간에 쉬고... 굳이 안 쉬어도 됐었는데... 결국 끝까지 다 못보고 돌아왔네요.	0	4
1	잊지못할 또 하나의 경기관람	"장마가 막바지에 이른 이날 경기는 시작 1시간 전부터 뿌린 소나기 때문에 경기 개시가 1시간 20분 가량 지연되었고 비가 그친후 내리쬐는 땡볕에 시작 전부터 온몸이 후끈 달아(?)올랐습니다. 
후덥지근한 날씨는 그나마 코로나로 인한 여유있는 좌석배치 덕분에 어렵지 않게 그럭저럭 이겨낼 수 있었던 것 같습니다. 하지만 마스크 착용이라는 또 하나의 난제를 극복해야 했습니다. 덥디 더운 날씨에 마스크를 끼고 있자니 답답함이 이루 말할 수가 없더군요. 어느정도 예상은 했지만 직접 경험해보니 간단한 문제가 아니었습니다. 하지만 모든 관중들이 마스크 착용을 잘 하고 있는 의식있는 모습에 좀더 인내심을 발휘할 수 있었네요. 
한편, 야구장에서 빠질 수 없는 것 중 하나는 열띤 응원가인데요. 날씨는 더워도 화끈하게 응원 한번 하고 나면 속이 시원할수도 있는데 이번에는 이것도 금지가 되는 바람에 연신 박수로 대신할 수밖에 없었던 점도 난생처음 경험한 이색 응원 풍경이었습니다. 육성 응원을 참아야 하는 고통도 있었지만 한편으로는 조용한 그라운드의 낯선 풍경은 쉽게 경험하기 힘든 체험일 거라는 생각도 들었습니다.      
어찌어찌 경기는 9회를 맞이했고 우리가 응원한 팀이 아쉽게 한점차로 지고 있는가운데 마지막 아웃카운트를 남겨놓은채 경기장을 나왔는데, 글쎄 이게 웬일!! 그만 역전 홈런이 터지고 야구장은 흥분의 도가니로 바뀌었더라구요. 마지막 하이라이트를 놓친 것 같아 못내 아쉬웠지만 직관한 경기에서 우리팀이 승리했다는 사실에 바로 아쉬움을 달랬네요. 
이런저런 할 얘기가 많았던 2020년 8월 15일 잠실야구장에서의 한나절이 이렇게 끝이 났습니다. 이날 경기는 여러모로 기억에 오래~오래~ 남을 듯합니다. <끝>"	1	10
2	극적인 대 역전극	"코로나19의 상황이 안좋아져서 프로야구 직관 인원이 30%까지로 진행되던 것이 내일부터 무관중 경기로 진행될 예정이어서 급하게 표를 구하여 오늘 아내와 함께 직관으로 현장에서 응원을 하게 되었다.
우리가 응원하는 두산이 4회까지 0:3으로 앞서가다 5회부터 8회까지 KT의 추격으로 5:4로 역전을 당해서
9회말 2아웃까지 진루없이 패색이 짙었다. 2아웃이후 두산의 마지막 타자의 평범한 내야볼을 포수의 포구 실책으로 살아 나간 후 다음타자의 볼넷을 얻어 1,2루 상황이 되었다. 대타로 나온 국해성이 초구를 노려 쓰리런 홈런을 날려 극적인 5:7의 대역전극을 이루어냈다. 역시 미라클 두산이라는 생각이 들었다.
경기후 집으로 오는 길이 너무나도 행복한 시간이었다."	1	10
3	우천으로 다소 지연	"예정된 시간보다 1시간이상 기다리다 좀 지쳤지만,

게임은 재미있어 다행이었습니다"	0	6
4	역전의 묘미	"9회말 2아웃.. 끝내기 3점 홈런!
이런 재미에 야구 직관합니다.
그 다음날부터 다시 무관중경기.. 빨리 코로나 종식되고 야구팬들 마음 편히 관람할 수 있기를 바랍니다~
즐거운 관람이였습니다 :))
"	1	10
5	2020 첫 직관!	승리해서 기분 좋았던 첫 직관!	1	10
6	경기는 졌지만..	역시 야구는 직관이죠!	1	8
7	굿	굿굿굿	1	10
8	두산 패	재미있었어요. 게임의 승패도 즐기는 요인이지만 다같이 모여 응원하는게 더욱 재미있었네요. 오랜만에 보는 선수들과 야구장의 공기가 더 즐겁게 만들어 주는 것 같아요. 아쉽게도 다시 무관중 경기가 시작되었지만 그전에 즐길수있어 즐거웠습니다.	1	10
9	두산베어스 v7!	이런 경기 선물 해 주어서 고마워요~	1	10
