	title	review	label	rating
0	올해 첫 직관	올해 첨으로 직관한 경기라 더욱 기억에 남네요~ 재밌게 잘 봤습니다. ^^	1	10
1	워워워 SK~	"코로나 때문에 못 갔던 에스케이 경기 
평범한 일상이 이렇게 값진 선물인지 
몰랐어요
경기 보는 내내 벅차고 선수들이
열심히 하는 모습에 스트레스도 날리고
빨리 힘차게 응원도 하고 싶네요"	1	10
2	야구는 직관이죠!!	"2020년 첫 직관이었습니다.
오랜만에 문학구장에서 야간경기를 보니 감회가 새롭네요. 
치맥과 함께하지 못한 것이 아쉽지만 
일상의 소소한 행복을 찾게 되어 행복한 하루였습니다~"	1	10
3	즐거운 관람이었습니다:)	즐거운 관람이었습니다:)	1	8
4	이겨서 재밌었음	이겨서 재밌었음	1	10
5	시원한 야구장	짜릿한 역전승으로 너무 즐거운 하루였다.!!!	1	10
6	시원한 야구장	짜릿한 역전승 ...  즐거운 하루였다.	1	10
7	우천 강우 콜드게임	사람 많이 없어서 안심됐고 경기는 재밌었고 다음에 또 직관갈 의향 있음	1	8
8	비오는 경기 꿀잼	"강우콜드승이었지만

재밌었습니다."	1	8
9	한 여름밤의 문학야구장	"올해 첫 직관이다. 시즌이 시작된지 3개월이 지났지만 야구장으로 가는 길은 여전히 설렌다.

10% 관중이라 여유있고 좌석도 널널하고 야구 보기엔 참 좋은 날이다.

일상의 스트레스를 떨쳐낼 수 있는 야구장은 내게 가장 좋은 놀이터다.

상대팀이지만 문학구장에서 듣는 ''연안부두''는 참 좋다.

사직에서 ''부산갈매기''를 부를 날도 기대해 본다."	1	10
10	비 안와서 다행	직관 가서 김지찬 선수 생애 첫 홈런을 제 눈 앞에서 볼 수 있어서 정말 좋았습니다	1	10
11	삼성라이온즈화이팅!☆!!!!	삼성VSSK	1	10
12	SK:LG	해피 해피한 경기 잘보았어요.	1	10
13	SK:LG	해피 해피한 경기 잘보았어요.	1	10
14	SK:LG	신나고 즐거운 경기 매우 만족	1	10
15	야구는	"역시 롯데 ^^

육성응원 없이도 충분히 즐길 수 있습니다 :)"	1	10
16	재밌었어요~	코로나때문에 응원은 열정적이지 않았지만 그래도 야구는 직관이 재미지네요~	1	10
17	좋아요	좋아요	1	10
18	승리했습니다	깔끔한 야구경기장 문학구장ㅎㅎ 좋은추억 쌓고갑니다	1	10
19	잼있었어요^^	롯데가 8-0으로 이긴 경기ㅋㅋㅋ 경기는 일단 이겨놓고 봐야죠ㅎㅎㅎ	1	10
20	승리체곸ㅋㅋㅋㅋ	롯데가 잘해서  행복해요	1	10
21	승리의함성	진격의롯데  너무재미잇러요	1	10
22	문학경기장 7월29일수요일 직관.	"가족 4명에서 재미있게 보고왔습니다.
코로나인데도 불구하고 많은 관중들과 응원열기가 대단했습니다."	1	10
23	재미있게 봤습니다.	"물론 홈 팀이 크게 졌어요.
sk 투수진이 엄청 털렸어요.
그것 또한 야구의 묘미죠 하하"	1	8
24	야구는 늘 재미있습니다	"그러나 경기장 내의 식사금지는 다소 아쉽습니다.
야구 관람의 큰 재미중 하나를 잃은 것 같아서 말이죠.
야구를 보면서 먹는 치킨은 별미인데요.
아쉽습니다.
물론 사회적거리두기를 지켜야 하고 코로나바이러스 확산 방지를 위해서라도 꼭 있어야 하는 조치임에는 공감합니다.

그리고 야구는 재미있게 봤어요."	1	8
25	재미있게 잘 봤습니다!!	물론 경기는 졌지만 ㅠ 재미있었습니다	1	8
26	코로나시대 야구풍경	"코로나로 지난주일요일부터 인원제한으로 입장이 가능해졌네요.
이번 주말에 잠실에 예약하고 싶었지만, 경쟁이 심하고, 비가 언제 올지 몰라서 오늘..
타구장이고 평일이라서 예매하는 것은 어렵지않았네요.
업무를 마치고, 도착하니, 이미 3회가 진행중이더군요.
배고파서 타코에 맥주한잔으로 간단이 때우고, 4회부터 열심히 응원모드 진입했어요.
거리두기로 옆사람과 간섭이 없어 야구응원하기 좋더군요.
다만, 치맥을 못먹고, 무음으로 응원해서 아쉬웠어요.
"	1	8
27	올 해 첫 직관	"역시 sk구장이라 할 만큼 깨끗하고 쾌적했습니다:)
입장부터 퇴장 할 때도 그렇고 질서 유지가 잘 되는거 같더라구요.
경기 끝나고 앞에 나오지 말라고 아이들에게 소리치시는(?) 보안 요원분이 조금만 더 언성을 높이지
않았다면 더 좋았을것 같아요!

"	1	10
28	코로나 19로 인한 거리두기 좌석 및 무음성 응원	"시즌 첫 직관 응원..네명의 가족이 함께 문학 구장을 찾았다..그러나 자리이동도 불가..마스크 착용 후 육성 응원도 불가..응원 좌석내 음식도 불가..당황스런 원정팀 응원석이었다..선수들의 안타에도 그리고 삼진 및 좋은 플레이에도..응원석의 함성은 없고 정적만이 있었다..그렇게 4회를 보내고..5회 라모스로 시작된 타석..""라모스 안타..짝짝짝 짝짝""을 육성이 아닌 박수로 응원을 시작했다..응원단장 등의 이끌어주는 누군가가 없어..응원석 서로의 눈치로 어색하게 시작되어 처음에는 박자 및 소리가 작고 소극적이었다..그러나 타석이 지날수록 고요속에 박수 소리는 웅장해지고..응원에 재미는 육성없이도 하늘을 찔럿고..무엇보다 선수들이 답례로 점수를 내주는 것이었다..솔직히 그 순간 가슴 속 눈물이 뭉클했다..
야구 응원 인생 중 가장 기억에 남는 나 개인의 하루였고..우리 가족도 너무 행복한 하루였다고 입을 모았다.."	1	10
29	무적엘지!!!!!!!!!!!!	"무적엘지!! 
무적엘지!! 
무적엘지!! 
무적엘지!! 
무적엘지!! 
"	1	10
30	역시 스포츠는 직관입니다	야구는 직관이 최고죠! 오랜만에 야구장에서 즐겁게 관람할 수 있었습니다!	1	10
31	야구장	"장단  10개월 만에  야구장를  찾으니  너무나  좋았고
비록  sk가 졌지만  재미있게  관람 하였습니다"	1	10
32	운치있는 우중경기	"관객들이 드문드문 앉을수있다보니 쾌적하고 너무 좋았다
응원을 못하는건 너무 아쉬웠지만
경기를 직접 관람할 수 있다는 것만으로도 행복했다
4회초 끝날때즈음 비가 갑자기 너무 많이 내려서 우산쓰고 경기 보다가, 결국 경기가 잠깐 중단됐지만
이런 경험은 또 오랜만이라 재밌었고 시원했다
결과적으로 승리해서 더 기분이 좋았다 :) 정찬헌 승리투수 먹는 모습을 직접 눈으로 봐서 너무 좋았당!
집 도착하니 밤12시였지만 알찬 하루였다"	1	10
33	시즌 첫 직관	기다리던 직관 역시 야구는 현장에서 고고	1	10
34	비오면 어떻하나요?	설마 취소는 아니겠죠?	1	8
35	재밌었어요	즐겁게 야구관람 하고 왔습니다	1	8
36	야구 시작했으면 좋겠다.	"

코로나가 얼른 종식 돼서
야구가 개막 했으면 좋겠다."	1	10
37	와이번스 승리하라!!	"올해도 기대되는 포퍼먼스로 
우승을 위하여 달려가자!
와이번스 화이팅!"	1	10
38	2020 우승	가즈아	1	10
39	화이링	SK고	1	10
40	투혼의 와이번스	"빨리 문학 구장 가고 싶어요~
올해도 파이팅♡♡♡"	1	10
41	2020고고고	가즈아~~~SK	1	10
42	선수	sk와이번스선수  2020년 화이팅	1	10
43	2019년 1번밖에 못 갔네ㅜㅜ	2020년에는 매 주 가야지	1	8
44	재밌었어요	내년 시즌 기대됩니다 ^^	1	10
45	행복한 시간이었습니다	즐거운 시간이었어요!!	1	10
46	오	대박 인터파크로 넘어왔네	1	10
47	ㅎㅎ	에스케이 항상 응원 해요	1	10
48	2층	2츰 자리한자리만	0	2
49	가게 되어 감격ㅜ	SK의 기획력에 또 감탄하러 갑니다!!	1	10
50	대박	경기도 경기고 다양한 이벤트들이 많아서 너무 즐거웠습니다	1	10
51	역시 SK	"1위인데
올시즌 첫 6연패라
그것도 제일 중요한
막판에 근데 투수에서는 김광현 타자에서는
정의윤이 살렸고
모든 선수들 최선을 다해줘서 고맙고요
힘드셔도 조금만 참고 정규리그 우승해서
한국시리즈 직행합시다.
SK 2019 통합우승 한국시리즈 2연패 고고고"	1	10
52	오늘도 응원팀은 패했지만 즐거운 하루	비록 응원팀은 패했지만 올해 수도권지역의 마지막 게임을 즐겼고, 선수 사인볼은 물론 파울볼도 두개 챙겨 갑니다.	1	8
53	sk화이팅	내가 응원하는 팀이 승리해서 기쁘다	1	10
