	title	review	label	rating
0	너무나 아쉬웠지만 재밌었던 경기	올해가 마지막이었던게 아쉽네요...내년엔 꼭 우승하길!!!	1	8
1	졌지만 잘 싸웠다	아쉽게 져서 4강에서 탈락했지만 재밌는 경기였음	1	10
2	게임이 져서 아쉬웠어요	아쉽다는 말밖에는	1	10
3	플레이오프 4강	좋은자리에서 잘 보고 왔습니다	1	8
4	플레이오프 직관!!	"전주 체육관의 뜨거운 열기를 그대로 느낄 수 있었습니다.

좌석수가 많지 않다는 단점을 단합으로 승화시킨 전주 실내 체육관의 열정을 그대로 느끼고 왔습니다."	1	10
5	KCC 승!! 결승 가쟈~	"전주까지 관람하러 간 보람이 잇었습니다. 
게임은 잘 풀리고 골도 잘 들어가서 신나게 봤는데.. 
혹시나 역전 당할까봐 조마조마 ㅎㅎㅎ
2패 후 1승이라서 완전 신나게 잘 봤고요.
역시 우리팀이 이기면 기쁜 건 당연!! 
이대로 분위기 타서 연승으로 결승 가&#51163;!!!! ^^
전주에서 맛난 거 먹고 한옥마을도 가고.. 즐거운 하루를 보냈습니다."	1	10
6	kcc 농구 꿀잼 ~~!!!!	농구는 역시 직관이죠~!!!! kcc 4차전도 갑니다. kcc 이겨요 !!!!	1	10
7	전주 KCC vs 울산 모비스	"후끈한 응원열기

KCC 화이팅"	1	10
8	3차전	"울산에서 2연패 후 전주에서 다시 1승!
4차전도 이기고 울산으로 다시 갑시다!!
화이팅!!"	1	10
9	넘 재밌었어요!!!	역시 농구는 직접가서 보고 즐겨야합니다!신나게 경기보고 응원도 하고 너무 재밌었어요!!!	1	10
10	2019년 프로농구 플레이오프 3차전 최고의 경기!	전주 KCC를 응원하는 사람으로써 전주실내체육관에서 펼쳐진 2019년 프로농구 플레이오프 3차전을 관람하기 위해 인터파크에서 일반석을 예매해서 관람하였습니다. 너무나도 재밌는 경기였고, 특히나 이겨서 기분이 더 좋았습니다.	1	10
11	좋았어요	경기도 이겨서 기분이 좋았어요	1	10
12	KCC 승리!!	너무 재밌었어요	1	10
13	플레이오프가 시시하게 끝나지 않았네요	"모비스가 워낙 강력한 팀이라 명색이 플레이오프 4강인데
일방적으로 끝날까 걱정됐지만 다행히 시리즈를 더 길게 끌고 갈 수 있게 됐습니다
농구팬 입장에서는 좋은 일이네요
인터파크에서 예매를 성공해서 좋은 자리에서 봤습니다"	1	10
14	잘 보고 왔습니다	"좋네요. 사용하기도 편하고, 
그런데 부분 취소가 안되는건가요? 
해당 메뉴가 보이지 않아서 전체 취소후 수량 변경 해서 재구매 하긴 했는데...

그걸 제외하고는 관람 잘했습니다. 
"	1	10
15	6강	"이제 4강이다!!
화이팅!!"	1	10
16	재밌게봤습니다	인터넷예매하면 일반석은 할인을 해주니 좋네요	1	8
17	직관 재밌었어요~	"경기장 처음으로 가서 응원했는데 재밌네요~

또 가서 보고싶어요!!!"	1	8
18	꽃농구 가자	파이팅 열심히 응원할게용	1	10
19	너무 재미있었습ㅁ니다니다	다들 플레이오프경기 놓치지마세요	1	10
20	실망이 너무 컸어요	"일 끝내고 빨리 도착해서 선수들 준비 운동 보고 싶었는데
서버 터져서 경기장 밖에서 20분 그냥 없어진거 정말 속상했습니다
다신 그런일이 없도록 신경써주세요
경기는 승패 상관없이 항상 즐겁게 응원하고 있어요"	1	10
21	즐거운 농구장 나들이	경기장은 다소 오래되었지만 벤치 뒷쪽 r석은 늘 현장감 최고	1	10
22	추천해요	중독되는거 같아요ㅋㅋㅋㅋ 꿀잼	1	10
23	좋아요	즐겁게 가조과 관람했습니다	1	10
24	재미있는 경기	"아이들과 함께 봤는데요
아이들도 너무 좋아하고 재미있었습니다
다음에도 또 보자고 하네요"	1	10
25	직관이역시 최고네요	"직관이역시 최고네요

정말 오랜만에 보러간 농구장이였는데

직관은 역시나 응원도 재밋고 흥미진진했습니다.

솔직히 농구는 잘 모르고 응원하는 재미로 보는지라

이벤트나 응원은 여전히 많고 재밋엇ㅇ네요
"	1	10
26	져서속상	인터넷으로 예매하면 일반석 천원씩 할인해주고 줄서서 기다릴필요없이 바로 들어갈수 있어서 좋아요	1	8
27	생각보다 A석도 괜찮네요	아이들이 앞에서 보는걸 좋아해서 좀 비싸더라도 앞에서 봤는데 예매좌석이 없어서 A좌석으로예매햏는데 게임은 더 잘보이더라구요 멀어서 안보일까 걱정했었거든요 화장실도 가깝고 전에 1층은 올라와야해서 좀 불편했엇거든요  매점도 가깝고 주위에 초등학생들이 많았는데 아이가 같이 응원도 더 크게하고 이자리가 가격도 저렴하고 좋네요	1	10
28	재밌어요	"배수용선수한테 반했습니다
이런 표현 사용해도 될지 모르겠습니다만
특유의 도리도리로 수비하는 선수들 너무 멋져보여요

건강하게 시즌 마무리하길 응원할게요"	1	10
29	재밌어요	승요가 되기위해 그냥 매번 가봅니닼ㅋㅋㅋㅋ	1	10
30	굳	넘 재밋엇어요	1	10
31	스포츠	"스포츠 관람 티켓은 인터파크에서 
모바일 티켓도 너무 편하고 좋아요 앞으로 또 이용할께요"	1	10
32	강추	박진감 넘치고 재미났어요	1	10
33	강추	박진감 넘치고 재미났어요	1	10
34	강추	박진감 넘치고 재미났어요	1	10
35	너무나 즐거&#50911;던 경기	"아이들과 너무 재미있게 경기를 봤습니다.
아이들도 너무 좋아했네요."	1	10
36	잘봤어요	두팀다 응원하는 입장이라 재밌었어요	1	10
37	너무 즐거웠어요	"농구를 보면 너무 즐겁고 
어제 경기는 졌지만 그래도 즐겁고 
재미있게 관람했어요!"	1	10
38	꿀잼경기	"2차연장전까지가고 결국엔 kcc 승리!!!
꿀잼경기였숩니다"	1	10
39	평일경기아닌듯한열원	직관 너무 추천해요 분위기가 너무 중독적	1	10
40	끝까지 승부를 알수없는 경기	"너무 오랜만의 농구 경기 관람.. 
아들과  둘이 본 경기는 정말 박진감이 넘치는 승부였습니다.
4쿼터 40분으로도 승부를 가리지 못하고 2차 연장까지 가는 혈투끝에 kcc 승리!!!
아이는 넘 집중하고 긴장해서 봣는지 다리에 힘이 풀렷다고 하네요^^
오랜만의 관람으로도 기분이 좋앗는데 경기 내용도 연장까지 이어져 아주 재밋게 하루 마감햇습니다~"	1	10
41	좋은 결과, 즐거운 관람이었습니다.	"즐거운 관람이었습니다. 응원한 팀이 승리하여 더더욱.
관람일전 안내 많은 도움이 됩니다.
내일도 예매, 응원하러갑니다.~~
"	1	10
42	KCC최고	"이번 시즌 KCC의 활약을 기대하겠습니다.
선수들 모두 최선을 다해서 이겨서 기분 좋네요."	1	10
43	중독	큰일났다 일안하고 농구만 보러 다니고싶다ㅋㅋㅋㅋㅋ	1	10
44	직관의 재미	"생동감 넘치는 현장에서의 느낌 최고입니다.
선수들의 움직임을 현장에서 보니
더욱 재밌고
응원도 신나니 시간 가는줄 모르고 
아이들과 즐기다 왔습니다."	1	10
45	너무잼있었어요!	"오랜만에 경기보니 더욱 잼있더라구요!
잘봤습니다!"	1	10
46	볼만했어요.	볼만했어요.	1	8
47	역정에 재역전 kt승리	kt팬인 아들과 함께 경기 관람을 했다, 역전에 재역전을 하는 박진감 있는 게임으로 마지막까지 승부를 알수 없는 시소 게임이었으나 아들이 응원하는 kt과 이겨 즐거운 나들이를 보냈다	1	10
48	보러 갈때마다 지네요	하하하하 5번 넘게갔는데 한판도 못이김	0	2
49	후기	Kt의 3점에 kcc가 이기기 힘들었던 경기	0	6
50	전주kcc	"보는내내 쫄깃쫄깃 손에 땀을 쥐는 경기였어요
엄마 아빠 동생네 식구들 우리가족 아홉명 대식구
모두 재밌었다는 반응이어서 너무 다행이네요
다음에 또 콜? ! !"	1	10
51	연장전 승리	"처음보는 연장전이었다. 질것 같은 상황 이었으나 4쿼터 마무리를 잘마치고 연장전에서 승리 하여
너무 기뻣다, kcc화이팅"	1	8
52	이 경기는 대박이였어요	"얼마나 재미있던지
중계 재방을 봐도봐도 꿀잼이였어요ㅋㅋㅋㅋ"	1	10
53	kcc짱~	항상 열심히 응원 합니다~~~	1	10
54	연장전까지~~	"두팀 다 응원하는 입장에서 보는 경기는 참 재미있어요
이번 경기에서 교창선수가 너무 잘해줘서 행복했어요"	1	10
55	연장전 후 아쉬운 패배..	"시소게임을 하다 연장전 몇 분 안남기고 KCC가 이겼어요..
응원하는 팀은 삼성이었는데 ㅎㅎ
너무 재미있는 경기 봐서 좋았습니다.
"	1	10
56	전주 원정관람	"전주 맛난 것도 많고 넘나 좋은데
삼성이 이겼으면 더 좋았을 것을..
왜 맨날 연장가서 져요????
네?????
연장까지 가서 지는 경기 보고 왔더니
개피곤.."	0	6
57	꿀잼꿀잼~~	"연장전까지 갔는데 KCC 이겨서 넘나 재밌엇어요!!

상대팀 서울 삼성 선수들도 좋은경기 감사했습니다^^*

모두 부상없이 시즌 마무리하시길 바래요~^0^"	1	10
58	잘 봤어요~	잘 봤어요~~	1	10
59	좋음	온가족이 즐거운 관람 되었습니다.	1	8
60	좋아요	온가족이 너무 즐겁게 관람하고 왔습니다.	1	8
61	꿀잼	"직관으로 응원하는 재미가 너무 커서
요즘 자주가게 되는거 같아요ㅋㅋㅋㅋ"	1	10
62	꿀잼	2년만에 직관했는데 응원도 힘나고 경기도 좋았습니다.	1	10
63	역시 sk!	"이겨서 너무 좋앗어여><
우리 sk나이츠 화이팅!!"	1	10
64	열심히 응원했어요	"리그이고 경기이기 때문에 지는 날도 있는건 당연하다 생각해요
공정하고 건강한 경기 내용이라면 승패는 상관없다고 느끼구요
직관을 가면 갈수록 시합을 더 챙겨 보고 싶어지는거 같아요
더 열심히 응원 하고 싶은 마음도 커지구요"	1	10
65	아쉬운 패배	인기구단 전주kcc팬으로 아들과 함께 경기 관람을 했습니다, 시종일관 계속 리드하고 있었으나 4쿼터에 역적당하고 마지막 3초에 동점을 만들어 연장전 예상했으나 버저비터로 전자랜드에 아깝게 패배하였습니다, 자녀와 같이 관람하는 kcc농구팀 화이팅	1	8
66	워후	질거 같았는데 너무 잘해서 한번 더 반하고 왔슴다	1	10
67	꿀잼	승패가 중요하지만 양팀 모두 응원하는 입장이여서 너무 재미있는 경기였어요. 정말 이관희 선수랑 이정현 선수 신경전이 눈앞에서 보이는데 워후..  모든 선수들 부상없이 시즌 마무리 하길 바래요.	1	10
68	주말엔 고객센터 연락도 안되나요??ㅠㅠ	"관람 3시간 30분전 예매를 하고 수량 조정을 하고 싶어 홈피 들어왔는데.. 이미 닫혀있고...
그건 그렇다치지만... 고객센터 전화를 했는데도 6분이 넘도록 전화 연결은 안도고...ㅠㅠ
현장에서도 안된다고 하고... 이럴거면 어차피 좌석지정도 안되는 일반석이었는데 현장 구매할걸 그랬습니다..ㅠㅠ 개선해주세요"	0	4
69	좋았어요	게임이 져서 그랬지만 좋았어요	1	10
70	게임도 이기고 좋았어요	경기력도 나름 좋았고 선수들 컨디션이 좋았던거 같네요	1	10
71	좋아요	"즐거운 농구 경기 관람 했답니다.
"	1	10
72	재밌었습니다!	다음번에 또 보러 가야겠어요!!!	1	10
73	박진감넘치는 경기	"2018년 10월21일 경기.

전주kcc 서울sk 경기를 관람하였는데, 박진감넘치고 시종일관 눈을&#46588;수 없는 경기 였습니다.

"	1	8
74	좋았어요	좋았어요	1	10
75	개막전이라 기대가 컷나봐요	"KCC경기는 전주로만 직관을 가서는 군산은 첨이었어요.
주차장도 넓어서 좋은 점도 있었지만, 좌석 정보가 충분치 않아서 자리를 제대로 못잡았네요.
개막전이라 뭔가 이벤트도 있고 티비중계도 할줄 알았는데 생각보다 조촐하게 진행된것 같아요.
아들들이랑 다녀왔는데.. 아들들 반응도 전주가  더 좋았다는 반응이었네요.
"	0	6
76	재미있는 농구관람	"서울에서 3시간을 운전해서 군산 체육관에 도착. 약간 늦어졌지만, 미리 예매를 해 둔 덕에 빠르게 티켓 받아 입장을 할 수 있었습니다. 

군산체육관은 다소 노후된 시설 때문에, R석에서도 경기장과의 거리감이 조금 있었던 부분은 아쉬었는데, 농구경기 자체가 매우 재미있게 진행 되어서 즐거웠습니다."	1	10
77	좋아요	"올해 첫 경기~~
너무 &#51619;거운 시간 보냈답니다.
kcc를 응원합니다."	1	10
78	전주KCC이지스	개막전 승리로 장식하고 경기도 박빙이었구 재밌었습니다~	1	10
79	만족	경기도 재밌고 승리해서 좋았습니다~~	1	10
80	좋아요	말이 필요없어요	1	10
81	개막경기	"개막전 홈경기 슬리하여 너무 좋았어요 ㅎ
입구가 넘 시장통 같아서 조금아쉬웠어요."	1	8
82	간편 티켓팅	겨울철 스포츠 농구 경기를, 그것도 응원하는 팀 경기를 쉽게 예매할 수 있어서 너무 고마웠습니다. 앞으로도 좋은 서비스 부탁드립니다.	1	10
83	화이팅!	화이팅!	1	10
84	sk	화이팅~~!!	1	10
85	sk	화이팅~~!!	1	10
86	sk	화이팅~~!!	1	10
87	kcc	화이팅~~!!	1	10
88	kcc	kcc화이팅!!	1	10
89	kcc	kcc화이팅!!	1	10
90	kcc	kcc화이팅!!	1	10
91	kcc	kcc화이팅!!	1	10
92	즐거운 경기	즐거운 경기였습니다	1	10
93	진심 느바급이었다는 평가가 아깝지 않음	"스크도 장판도 진짜 너무너무 멋있었고,
특히 장판은 2차전이랑 달리 똑같이 9점차가 나도 포기하지 않고 마지막까지 승부수를 띄운 모습들이 멋있었음.
다음 시즌에 만나요 즐거웠어요."	1	10
94	재미있었음	"다음 시즌에도 이번 경기처럼만 했으면 좋겠음
물론 장판 최고"	1	10
95	최고	진심 재밌었음	1	10
96	꿀잼	비록 전주는 졌지만... 이번시즌 최고 꿀잼경기였다	1	10
97	좋았습니다	모바일티켓 정말 편하네요	1	10
98	4차전	너무 재밌었어요!	1	10
99	마지막경기 너무 재미있었어요!!	다음시즌에 다시 만나요~ 오늘 행복했습니다~~	1	10
100	플레이오프 4차전을 보고	전주에서 플레이 오프 4차전을 봤다. 너무 재밌었다	1	10
101	티켓 모바일 참 편해요.	"티켓 모바일도 처음이고 농구경기 관람도 처음이다..1시간 거리를 가서 보고 왔지만 후회없는 시간을 보낸것 같다. 
다음에도 인터파크 티켓을 이용해서 관람을 해야겠다."	1	10
102	재밌었어요	4강 진출 굳굳	1	10
103	뭐 이런 걸 평가를 다...	ㅋㅋㅋㅋ 전자랜드 응원하러 갔는데 1쿼터부터 그 누구하나 시원하게 슛 넣는 선수가 없었는데 평가를 하라니 가혹합니다	0	4
104	좋았습니다	인터파크 모바일 티켓 편하네요	1	10
105	전주kcc 4강진출	인터파크예매덕분에 좋은자리를 예매하여 줄거운 관람이 되엇습니다 ㅎ	1	10
106	5차전	전랜 졌잘싸!	1	10
107	good	5차전 good!	1	10
108	꿀잼경기~~!	경기장 분위기도 최고 경기력도 최고였습니다 KCC 우승 가즈아~~!!	1	10
109	아이들과 정말 즐겁고 짜릿한 시간	"이번 시즌은 정말 바쁘고 시간이 없어서...
아이들하고 약속한 경기를 한번도 가지 못해 정말 아쉬웠는데...
저번 토요일 경기를 이기고 나서 바로 예매에 들어갔다.
원하는 자리는 이미 마감 이었지만...
아이들과 함께 온가족이 같이 경기를 관람 했는데....
정말 즐겁고 짜릿한 시간을 보냈어요....
앞으로 종종 가족들과 함께 이런 시간을 자주 만들어야겠다."	1	10
110	전자랜드 인성 폐급	강상재 박찬희 김태진 반성들 하시기를	1	10
111	모바일티켓 편리해요!!!	"편하게 잘보고왔습니다.
"	1	10
112	짱	엄청 겅기 멋졌어요	1	10
113	짱	최고경기었음요	1	10
114	에밋고......	이정현 힘내라...	0	2
115	잘 봤어요~~	"

마지막까지 손에 땀을 쥐게 하는 경기였어요~~!!"	1	8
116	재밌는경기~~	플레이오프답게 멋진 경기 선사해줬습니다. 티켓값이 아깝지 않은 경기였구요..다음번 경기고 관람할 예정입니다~	1	8
117	농구 잘보구왔습니다	"편하게 볼 수 있어서 좋아요~^^
"	0	6
118	그냥그냥	그냥그냥 경기보고왔네요	0	6
