	title	review	label	rating
0	비오는날의 축구관람	"후반 중반까지는 비없이 정말 좋앗는데
후반전 20분경부터 비가와서 우산쓰고 관람했는데
진짜 현장분위기 좋았어요!!더욱 많은 사람들이 와서 관람하면 좋을꺼같아요!!"	1	10
1	올해 첫 직관	"비가 왔지만 모든 게 좋았던 경기.
역시 축구는 직관!"	1	10
2	최선을다한선수들	"올시즌처음으로유관중경기전반전은치고받고1-1후반부터미가억수로
오는데도경기관람재미있게했어요
비록수원이승리하진못했지만열심히뛰어준선수들고생마노았어요
다음경기때꼭승리하길바래요
수원FC화이팅
안뱡준화이팅^^"	0	6
3	올해는 꼭!	올라가자!!	0	6
4	축구 관람을 보고나서...	"오랜만에 수원종합운동장에서 수원FC홈경기를 관람하였다. 
생소하긴 했지만 푸른잔듸위에서 죽을 힘을 다해 뛰는 선수들의
숨소리와 몸에 젖은 땀냄새가 관중석까지 전달되는 느낌이었다.
경기를 마치고 잔듸위에 쓰러져 숨을 고르는 선수들의 모습은 열정과
영광을 모두 쏟아낸 아름다운 모습으로 기억되고 열심히 응원하는 관중의 관람태도와
성숙한 응원문화가 선진국 대열로 들어선 느낌이었다.
다음에 기회가 있다면 다시한번 관람을 꼭 할 것이다."	1	10
5	수원FC vs 부산아이파크	"경기 재밌었습니다.
마지막까지 포기하지 않았지만
부산아이파크가 골을 넣어 1대 0으로 승부를 마무리했습니다."	1	10
6	수원 FC의 승리를 기원했으나..ㅜㅜ	"아들과 처음으로 찾아간 축구경기장. 
비록 결과는 수원 FC의 0:1 패배로 끝났다. 축구교실에 들어가 축구화와 축구복도 맞춘 아들에게 아빠로서 ''실전''을 경험해 봐야한다는 마음으로 예매하고 응원석 빈자리를 찾아가 경기를 관람했다. 
하지만 웬걸! 아들의 눈엔 축구보다는 노란색 사발면을 들고 가는 사람이 띠용! 하고 들어왔다. 축구경기장 가면 라면 먹을 수 있다는 말로 추워서 나가기 싫다는 아들을 꼬여서 데려왔는데, 이게 그만 화근이 된 것일까...ㅜㅜ 아들은 라면 먹는 사람만 찾고 있었던 것인가보다. 
어쩔 수 없이 난 사발면을 사들고 왔고, 아들은 걸신들린듯 라면을 흡입하느라 경기 시작 후 5분 넘게 경기는 안중에도 없었다. 90분 경기 내내 보는둥 마는둥 하던 아들이
경기가 끝나갈 무렵...  나에게 던진 말 한 마디. 

""아 경기 끝나니가 출출하네. 라면 또 없어요? "" ㅜㅜㅜㅜ
"	1	10
7	오랜만에 행복했던 그 순간 ., ㅠㅠ	"진짜 손 하이파이브 당첨되서 하이파이브 하는데 손이 덜덜 떨리고 진짜 ㅠㅠ 말도 안 나올 정도로 너무 좋았고 
진짜 진짜 너무 좋았습니다 ... ㅠㅠㅠㅠㅠㅠ 말도 안 될 정도로 좋았고 1:0으로 지긴 했지만 끝까지 뛰어준 선수들께 감사 말씀 드립니다 ㅠㅠㅠ"	1	10
8	축구축구	비오는날이라 사람이 많지 않았던게 아쉬웠음	1	10
9	Really nice	"I watch every week.
I love Suwon FC.
Fighting!!!!"	1	10
10	멋진 수원 FC	"수원 FC가 수적 열세에도 승리를 거뒀다.
너무 재밌었다.

아이들이 놀수있는 공간도 있어 참 좋았다."	1	10
11	재밌는 경기	"재밌는 경기.

딱 2부리그 경기. ㅎㅎㅎ 그래서 재밌는 경기.

경기 자체는 좋았는데, 동원된 티가 나는 관중들, 뜬금없는 응원단, 응원단에 밀린 서포터즈. 이건 뭐.... 축구경기장인지..... 수원시 행사장인지.... 맥주가 짝으로 들어오기도 하고.... 뭐, 다음 경기에는 이런 일이 없을테니까....."	1	8
