	title	review	label	rating
0	점수가 안나서 아쉬웠지만 재밌던 경기	코로나 관련 안전 수칙도 철저하게 지켜지고, 오히려 사람이 많지 않아 쾌적하게 경기를 즐길 수 있었습니다.	1	10
1	비겨서 아쉬운경기	사회적 거리두기가 잘 지켜져서 다행입니다	1	10
2	경기 내용은 아쉬웠지만 경기장 너무 이쁩니다	모바일 티켓도 편하고 현장에서 바로 경기장 입장 가능해서 좋았습니다.	1	10
3	홈경기 관람후기	"코로나 끝나기 전에는 가족과 같이 가면 안되겠네요~
어린자녀들과도 떨어져 앉으라고 계속 이야기하고.....
코로나 땜시 그런건 이해하지만 가족들하고도 떨어져 앉게 하는건 이해못함
"	0	4
4	일좀해라..	예매권 안파냐..	0	2
5	신기한 19시~21시 축구경기 시간	"요즘 비가 안오는 시간이 있었을까?
폭우에 태풍까지 다가오고...이런 상황이지만, 아이들과 함께 보고 픈 마음에 신청한 축구경기!
신기하게도 이 시간에는 비가 오지 않았다. 살포시 내렸던 몇분가량이 있었지만, 요즘의 비내리는것에 비하면 그걸 과연 비가 왔다고 할 수 있을까?

대전 첫 경기가 많은 준비, 우비&응원기구 등에도 불구하고,
아주 아쉽게 5골이나 봤음에도 그게,,,2대 0에서 2대 3으로 역전패를 당했다.
아이들과 대전하나시티즌이 골을 넣을때면 좋아라 박수치고 그랬었는데...아쉽 ㅎ
다음 경기가 17일이라고 하죠? 또 공휴일인만큼 아이들과 함게 하려 합니다.

이번엔 이겨야할텐데...^^ 1부 승격을 기대하며!!!"	1	10
6	황새 out	황새 out 최용수 in 이게 모든 대전시민의 꿈 아닐까?	0	2
7	대전하나시티즌	"전반전 2점 득점해서 이길거라생각한경기데 후반에 3골을 먹혀서 졌어요
역시 스포츠는 끝까지 봐야된다는 생각했다 
아쉬운 경기긴하지만 넘 잼나게 봤어요ㅡ"	1	10
8	승패와 상관없는 감동	코로나때문에 직접관람이 어려웠는데 승패와 상관없이  감동은 굉장했음^^	1	10
9	축구	오랜만에 관람 해서 재밌었어요	1	10
10	대전하나시티즌 화이팅!!	올시즌 정말 기대되네요~~	1	10
11	화이팅	올해도화이팅해주세요^^	1	10
12	화이팅	대전 화이팅	1	10
13	올해엔 좋은 성적을 기대합니다..	"시즌권을 2매 구매하면서..

새로운 구단으로 거듭나기도 했으니..

올해는 좋은 성적을 거둬서 내년에는 상위리그로 진출할 수 있길 기원합니다."	1	10
14	승격각이다.	2부 씹어먹고 1부가서 탑찍고 아챔가서 우승하세.	1	10
15	두 아들이 새로운 대전하나시티즌으로 형재애가 돈독해지길 바랍니다	대전하나시티즌의 새로운 시작과 아이들의 꿈을 위해. 우리 아들들의 꿈은 축구선수입니다. 꼭 이벤트에도 참여하고 싶어요	1	10
16	새롭게 시작하는 시티즌에 다가서기	"2020년 대전하나시티즌으로 
새롭게 시작하는 시티즌에
저도 새롭게 다가서봅니다.
대전시티즌으로 그 동안의 어려움이
추억될 수 있도록 
좋은 성장 과정을 거쳐
명문으로 자리매김하기를 기원합니다.
대전하나시티즌 파이팅!"	1	10
17	대전 화이팅!	다시 태어나는 대전 화이팅!	1	10
18	완료~	대전 화이팅!	1	10
19	대전 다시 시작합시다.	변화로 또다른 시작을 ! ㄱㄱ	1	10
20	시즌권 구매완료	"축구 좋아하는 아들녀석 덕분에
저도 같이 축구 좋아하네요
아들은 유소년에 따로 나오기 때문에
제꺼만 구입 했답니다
빨리 경기장 가고싶네요"	1	10
21	E석과 W석의 차이점	"구단에 문의한 결과...

W석이 더 비싼 이유는, 햇빛가림 여부와 E석에 더 많은 관중이 자리하게 하기 위한 구단의 의지 때문이랍니다. 오후 경기 관람 시 E석에서 고생 꾀나 해본 입장에서 W석의 메리트가 분명히 있긴 하지만.. 5만원씩이나 차이나는건 E석 관람 유도의 목적이 더 크다고 보여지네요.

전 일단 W석 구매했어요. 왜냐면 E석에서 오후 경기 볼 때 악몽같은 햇볕과 싸움을 벌였기 떄문에... 부모님 모시고 갈 생각해서라도 W석이 나으니까요. (술한번 안마시고 말지 뭐.. ㅠㅠ)

혹시나 저처럼 궁금해하시는 분들 계실까봐 올려보아요."	1	10
22	헐 가족 다 사니 30만원이 넘네 ㅡㅡ;;	승격 못하면 안되으야~~~~~~~~~~~~~	1	10
23	구매완료	구매완료	1	10
24	구매완료	가족 구매 완료	1	10
25	시즌권 구매했어요.	"올해도  홈  전경기  직관 예정입니다!!!
잘하나  못하나  내팀!
우리동네  우리팀!
대전하나시티즌 항상   응원합니다."	1	10
26	초등학교때부터 경기장을 찾앗던 사람으로써	"20대 초반  극적으로 6강 진출햇을때 경기장에 잇엇을때가 

바로 어제  같은데 

이제 30대 중반이 꺽이고 이런날이 오네요

이제 7살배기 아들과 시즌건 구매후  홈경기  올킬 예정입

니다 ㅎㅎ

대전하나 흥해라 ㅎㅎ  황선홍감독님  화이팅!!"	1	10
27	대전하나시티즌 화이팅	화이팅	1	10
