	title	review	label	rating
0	사랑해요	힘들어도 즐겁게 경기하세요 사랑해요	0	6
1	강추	추천합니다	1	10
2	재미있고 유익한 시간 이였습니다!	다음 클래스 (스포츠) 에 빨리 참석하고 싶게 만들어 지는 시간 이였네요!!	1	10
3	a반 참가자였습니다!	"권봄이 인스트럭터님이랑 정병민 인스트럭터님의 강습을 받는데
웜업이랑 언벨런스 슬라럼, 긴급회피? 때까지 계속해서 피드백주셔서 정말 재미잇었고
짐카나할때도 너무 재미잇게 잘 했습니다.
서킷돌때는 그리 빠르지 않고 코스도 짧고 시간도 짧아 너무 아쉽긴 했지만
권봄이 인스트럭터님의 n택시는 정말 최고였습니다.
잠깐 기어 넣는데 살짝 실수가 있으셔서 웃으시는데 세상 예쁘시고 ㅋㅋㅋ
정말 6만원에 이 구성이면 가성비 끝판왕이라고 생각하고
다음 스포츠 클래스 응모에 꼭 도전해서 다시 한번 참여하고 싶습니다!
"	1	10
4	즐거웠던 하루	"
위치가 멀었다는것만 제외하면 좋았습니다.

원래 목적은 N택시였는데

다른 과정도 유익하고 좋았습니다."	1	10
5	좋습니다	차 좋아하시고 벨로스터n 관심있으신 분들 좋아요	1	10
6	완전 좋아요	"드라이빙 스쿨을 통하여, 더욱 안전한 운전방법을 배웠네요

앞으로 자주 이런 기회가 있었으면 좋겠네요

강력추천합니다. ㅎㅎ"	1	10
7	정말 유익한 교육	"차후 서킷 주행을 염두에 두고 가장 기초 단계부터 신청했는데
굳이 서킷 주행이 아니더라도 공도 주행 시에도 도움이 많이 되는 유익한 교육입니다
인스트럭터 두 분도 더운 날씨에 정말 수고 많으셨습니다"	1	10
8	빨리 다음 단계의 클래스를 수강하고 싶네요	기초교육으로는 나름 알찬 프로그램으로 재밌게 진행되었습니다 특히 N택시는 대박이었습니다~~	1	10
9	기승전N	"작년 이맘 때의 초기 드라이빙 아카데미에서는 Fun 클래스와 Safety 클래스가 같이 붙어있었고, 언더스티어, 오버스티어 체험 교육, 슬라럼, 장애물 회피, 원선회 등 기초 교육과 함께 짐카나와 폭스헌팅 같은 다양한 오락요소가 있어 유익하면서도 재미있었는데, Fun과 Safety가 나뉜 이후 Fun이라는 이름이 무색하게 변해버린 느낌이 듭니다.
폭스헌팅이나 원선회는 아예 커리큘럼에서 빠졌고, 짐카나는 굉장히 간소화되었습니다.

커리큘럼의 단순화에도 불구하고 일상생활에서 쉽게 배울 수 없는 실질적인 운전능력을 저렴한 가격으로 배울 수 있다는 점은 현대 드라이빙 아카데미를 추천하지 않을 수 없게 만듭니다. 얼핏 일상생활에는 전혀 도움이 되지 않을 것 같지만 위급상황에서 정확한 판단과 조작을 할 수 있게 해주는데 많은 도움이 됩니다.

덧붙여 이번에 특별히 마련된 벨로스터N 택시(인스트럭터의 운전을 동승석에서 경험)는 짜릿한 경험이었습니다. 지름신이 강림할 뻔 했습니다."	1	8
10	경주자체는 좋지만...	자리도 완공도안되고 교통도 안좋아서 좀그래요.	0	6
