	title	review	label	rating
0	2020년 프로야구....직관	2020년 처음으로 프로야구 직관했습니다. 작년보다는 운동장 분위기가 좋지는 않았지만 야구를 직관할수 있다는 것만으로도 좋았습니다. 다들 코로나예방수칙을 잘따라주는 모습도 보기좋았습니다. 비록 소리를 지르지는 못했지만 스트레스를 해소할수있는 하루였던것같습니다. 대한민국 화이팅!	1	10
1	고척 돔 처음 관람	요즘 장마철에는 역시 돔구장이 짱인 듯	1	8
2	아이의첫경험	"아이가 처음으로 야구장이라는곳을 간다고해서 예매를 했는데..티비에서만 보던 그런풍경을 직접가서 보고 
느끼면서 좋은추억하나 플러스된거같아요.
넘늦게 예매를해서 잘보시진 않았다고 하드라고요.다음번엔 미리 예매해서 좋은자리에서 보게해주고싶내요."	1	8
3	감사합니다.	감사합니다.	1	10
4	쾌적하고 시원한   관람	"장마철 돔구장은 정말  최고였습니다 시원하고  쾌적하게 아이들과  재밌게 관전했습니다.
다만  자체주차장을 아예 못쓰게해서  그점은 너무너무 불편하네요"	0	6
5	쾌적하고 시원한   관람	"장마철 돔구장은 정말  최고였습니다 시원하고  쾌적하게 아이들과  재밌게 관전했습니다.
다만  자체주차장을 아예 못쓰게해서  그점은 너무너무 불편하네요"	0	6
6	관람후기입니다.	"고척돔 경기관람은 쾌적하니 좋았습니다.

코로나로 인해 음식물 반입이 안되는점은...야구장을 찾는 팬으로는 많이 아쉽네요
"	1	10
7	아쉽지만 흥미진진한 경기	"6연승 vs 5연승의 기세가 부딪힌 진정한 명경기였습니다

응원하는 키움이 아쉽게 졌지만 다음날 멋있게 복수하며 

흥미진진한 시리즈를 이어가고 있네요 ㅎㅎ

관람 강추합니다!!"	1	10
8	쾌적한 고척-	"밖에 비오는줄 모르고 편하게 야구보다왔네요.
하나도 안덥고 에어컨~ 이겨서 더좋음..ㅎ"	1	10
9	직관승리!	키움팬입니다. 키움이 대승해서 좋았습니다.	1	10
10	키움 화이팅	이겨서 좋앗습니다	1	10
11	고척스카이돔 직관 휘	"
오랫만에 아이와 함께 고척 스카이돔 직관했습니다.
코로나 때문에 걱정이 없진 않았지만 
여러 스탭들이 잘 케어해주셔서 즐거운 관람했습니다.

조만간 또 방문하고 싶네요."	1	10
12	단상도 경기도 잘 보이는 자리.	202~203은 좀 멀어보이긴 하지만 앰프소리도 적당히 들리고 야구도 잘 보이는 자리입니다. 주중 경기는 15000원이라 나름 가성비도 있습니다. 다만 주말이면 가격이 훌쩍 뛰어서 고민이 되기도 합니다.	1	10
13	러셀의 MLB 플레이 보러 갔어요!	"역시 명불 허전입니다.

TV로 보는 것보다 훨씬 빠르고 잘 합니다.

꼭 한번 직관 가시시를 추천합니다!!"	1	10
