	review	label
0	그나마 아시아이니까 이렇게 자주 월드컵나가는거지....... 유럽이었어봐. 한번도 못나갓어 우리나라..그러니 감사한줄알고. 잘좀 해라 대한민국..다음부터는 월드컵 예선전 공정성을 위해 지역단위가 아니라. 무작위로 한다는 이야기도 있어~그러니 마지막이라 생각하고 잘좀하자..	0
1	비싼 돈 들였는데 잔디가 저따구로 된것도 문제고 축구도 개판이였다.걍 단점에 단점이 겹쳐서 개망한거다.	0
2	관중들이 너무열심히 응원해서 졌답니다	0
3	2번ㅋㅋㅋ누군진 모르겠지만 살인박치기 엄청하더라ㅋㅋ 뭔 공보고 뛰는게 아니고 선수보고 뛰어 ㅋ 철두공이야 뭐야 ㅋㅋ	0
4	핑계 핑계 또 핑계 그게 우리가 우릴수있게	0
5	조4위로 탈락확정	0
6	ㅋㅋㅋㅋㅋㅋㅋ걔가 그러잖아 응원소리 때문이라고~~	0
7	지성이형님 보고싶습니다 ㅠㅠㅠ	0
8	개발들탓이지뭐ㅋㅋㅋㅋ	0
9	또 이야기들어보니 ㅋㅋㅋㅋㅋㅋ관중 시끄럽게 응원때문에 남탓으로 돌리던데	0
10	이란덕에 월드컵 강제 진출 당했습니다	0
11	우즈베키스탄 때를 잘하자!	0
12	과르디올라 와도 안될 한국축구	0
13	이동국 ㅋㅋㅋ ㅋ	0
14	아니 아차피 올라가 ㅋㅋㅋㅋ	0
15	그냥 우즈베키스탄 이기고 월드컵가자ᆞᆞ 머리 아프게 경우의수 따지지 말고ᆞᆞ	0
16	꼭 탈락했으면 좋겠다  썩은 정신 머리 좀 고치게	0
17	정말 잔디 때문인가?	0
18	예상했던바다	0
19	걍 닥치고 다 탈락쳐해	0
20	괜찮음 월드컵감ㅋ	0
21	준비도 안하고 나가냐 호흡 맞출시간이 짧은데 나갈 생각을 와....할말이 없다	0
22	나 진짜 월드컵보고싶어 보게해줘	0
23	느그들 해낼줄 알았어^^	0
24	그냥저잔디는 돗자라깔고김밥먹는게나음	0
25	6만 광중 호구 만들기 작전	0
26	우리나라는 믿을것은 e스포츠 뿐이다.	0
27	그럼 잔디 문제 없는 원정에서 쳐이기지 왜지냐 ㅋㅋㅋ	0
28	잔디,관중, 소통,감독,수비불안.그냥 지금 탈락하고 다시 올라가자	0
29	한국축구에몰락이다가오는구나진짜안타깝다	0
30	진짜 ㅈ나 못ㅎㆍㄴ다	0
31	난 우즈벡 응원할꺼다. 한국에 매번 걸려넘어지면서 월드컵 못갔는데 이번엔 이기고 갔으면 좋겠다.한국은 자격이 없다.	0
32	월드컵 본선 나가 봤자...3전 3패,...망신당할텐데..이번에 떨어져 정신차려야한다..축협 및 축구 관계자들..	0
33	they will never be one of the leading soccer team like that	0
34	패스가 진짜 안되지않았나 수천번 수만번 해봤을건데 어찌이리 패스미스가 많이나는지... 우즈벡전에서는 골결정력도 더럽게안좋았었고.... 빈골대못넣은거는진짜ㅋㅋㅋ	0
35	잔디탓ㅋㅋㅋ 추운지방에서 잘 자라는  잔디라고?ㅋㅋㅋ 그럼 추울 때도 지면?ㅋㅋㅋㅋ	0
36	잔디가 좋았으면 이란이 이겼겠지 ㅋㅋㅋ	0
37	걍이겨라 잔디 어쩌구 저쩌구 탓하지말고..	0
38	제목이 봐뀌었다!	0
39	박지성 데려와 	0
40	축구 그만하자	0
41	관리를 어떻게 했길래 잔디가 저모양 저꼴이냐 우리나라는 이길생각 있긴 한거냐 잔디탓 감독탓 하지말고 실력기르고 시야좀 넓게 보자	0
42	잔디가 형편없는걸 핑계라고 대나ㅋㅋ 상대도 똑같은 잔디썼다ㅋㅋ	0
43	손흥민 토크넘 응원하긴 하는데 잔듸 발언은 좀 심했다...국대는 그냥 망한듯 조직력이나 근성도 없는거같고..그것도 홈에서 저정도면 원정은 어휴...	0
44	예전 잠실축구장 초록색 페인트 뿌리고 수중전에 잔디는 지뢰밭 됐어도 일본 이겼다	0
45	탈락해서 그냥 축구열기 식었으면 좋겠다 ^^.. 중국리그가서 돈만 받을라는 애들보려고 축구보나 ㅋㅋㅋㅋ	0
46	지금 정치 사기꾼 놈들은 정권 훔쳐 가느라 축구 같은거 신경 못쓴다. 그냥 맨땅에서 알아서 뛰어도 우승해야 된다. 낙엽타고 두만강 건너고 솔방울로 대포 만드신 위대한 그들의 김정은 장군님 대를 이어야지, 무슨 잔디 타령인가? 죄인이 한테 혼날일만 남았노? ㅋㅋ	0
47	이승우,백승호 대려와 답답하다...	0
48	이건 월드컵 가봤자 망신......???	0
49	2002그분을 전설이라 합니다. 그립습니다.......	0
